city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Delhi,Humayun's Tomb,True,GOOD,GOOD,TOUGH,HIGH,"UNESCO garden-tomb that inspired the Taj Mahal; the grounds are accessible with ramps and smooth surfaces (roll the charbagh gardens for an hour), but the raised tomb chamber itself has steps and isn't enterable by wheelchair. Gorgeous.",curbfreewithcorylee firsthand; tataneu; unitedspinal,28.5932856,77.2506468,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Tomb_of_Humayun%2C_Delhi.jpg/330px-Tomb_of_Humayun%2C_Delhi.jpg
Delhi,Qutub Minar,True,TOUGH,GOOD,TOUGH,HIGH,"UNESCO victory tower in red sandstone; ramps let you enter the complex and the grounds are accessible to admire the tower, but the tower itself (closed to climbing anyway) and the old mosque are not wheelchair-navigable. Impressive from the grounds.",curbfreewithcorylee firsthand; tataneu,28.5244130,77.1854501,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Qutb_Minar_2022.jpg/330px-Qutb_Minar_2022.jpg
Delhi,Red Fort,True,TOUGH,GOOD,TOUGH,MEDIUM,"Mughal fortress in Old Delhi; has accessible entry points and some facilities and vast courtyards, but expect long distances, some uneven historic surfaces and steps into individual pavilions. Take it slow; a guide/accessible-tour helps.",tataneu; namasteholiday,28.6560810,77.2407959,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Delhi_fort.jpg/330px-Delhi_fort.jpg
Delhi,India Gate,True,GOOD,EXCELLENT,GOOD,MEDIUM,"The war-memorial arch on Rajpath; the surrounding lawns and promenade are flat and open, easy to roll and popular with families in the evening. Free and accessible.",tataneu; general,28.6129332,77.2294928,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/India_Gate_%28All_India_War_Memorial%29.jpg/330px-India_Gate_%28All_India_War_Memorial%29.jpg
Delhi,Lotus Temple,True,GOOD,GOOD,GOOD,HIGH,The Bahai House of Worship shaped like a lotus; a modern barrier-free design with ramps welcomes all visitors to the serene prayer hall. One of Delhi's more accessible landmarks. Closed Mondays.,tataneu; indiatourspackages,28.5533586,77.2586006,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/330px-LotusDelhi.jpg
Delhi,Akshardham Temple,True,GOOD,EXCELLENT,GOOD,MEDIUM,"Vast modern Hindu temple complex with carvings, gardens, exhibitions and an evening water show; well-organized and largely accessible - a family favourite. Note strict security: no phones/cameras inside (cloakroom provided).",tripadvisor; indiatourspackages,28.6125167,77.2773184,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/New_Delhi_Temple.jpg/330px-New_Delhi_Temple.jpg
Delhi,Jama Masjid,True,TOUGH,GOOD,FAIL,MEDIUM,"India's largest mosque in Old Delhi; magnificent but reached by broad flights of steps up to the raised courtyard, making it very difficult for wheelchair users. View the exterior; interior access is limited.",indiatourspackages; general,28.6506822,77.2329610,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Great_Mosque_of_Mecca1.jpg/330px-Great_Mosque_of_Mecca1.jpg
Delhi,Lodhi Garden,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Landscaped park with 15th-century tombs among lawns and trees; wide mostly-flat paths make it a relaxed, accessible green escape and a lovely stroll/roll. Free.",tripadvisor; general,28.5962998,77.2215497,
Delhi,Old Delhi / Chandni Chowk,True,TOUGH,GOOD,TOUGH,MEDIUM,"The historic market heart (spices, textiles, street food); the streets are rollable in parts but extremely crowded with hectic traffic, missing curb cuts and chaos - most wheelchair travellers do it as a slow driving tour or cycle-rickshaw. Sensory and unforgettable.",curbfreewithcorylee firsthand; unitedspinal,28.6590546,77.2275892,
Delhi,Gurudwara Bangla Sahib,True,GOOD,GOOD,GOOD,LOW,"Serene Sikh temple with a sacred pool and a huge community kitchen (langar); generally accessible with ramps and welcoming staff (head covering required, shoes removed). Peaceful and moving.",namasteholiday; general,28.6285156,77.2095706,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg/330px-Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg
