city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Queenstown,Skyline Gondola (Bob's Peak),True,GOOD,EXCELLENT,GOOD,HIGH,"The steepest cable-car lift in the Southern Hemisphere; level loading, staff slow/stop the cabin to board (or lend a wheelchair), and the top complex - viewing deck, Stratosfare restaurant, accessible toilets - is step-free. Stunning Lake Wakatipu views. Luge is case-by-case (a truck-trailer cart option exists).",queenstownnz official; havewheelchairwilltravel firsthand; skyline.co.nz
Queenstown,Lake Wakatipu Waterfront,True,GOOD,EXCELLENT,GOOD,HIGH,"The town's flat, pleasant lakefront promenade and gardens; easy accessible strolling/rolling with mountain-and-lake views, cafes and benches. The heart of family-friendly Queenstown.",stroller-friendly; queenstownnz
Queenstown,TSS Earnslaw & Walter Peak,True,GOOD,GOOD,GOOD,MEDIUM,"Historic 1912 coal-fired steamship cruise across the lake to a high-country farm (sheep-shearing show, dining); a relaxed, scenic family experience - contact the operator ahead for boarding assistance and accessible arrangements.",stroller-friendly; queenstownnz
Queenstown,Shotover Jet,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Thrilling jet-boat blast through the narrow Shotover Canyons; the crew provide assisted access from car park to boat (shuttle vans with handrails, drive-to-riverside option) but you must wear a lifejacket and make a small step into the boat. Inclusive-minded operator.",queenstownnz (inclusive adventures) firsthand
Queenstown,Milford Sound day cruise,True,GOOD,GOOD,GOOD,MEDIUM,Iceland-of-the-south fiord day trip from Queenstown; the coach tours and the cruise boats are generally wheelchair accessible (confirm the specific operator/vessel). A long but spectacular bucket-list day.,pelago; disabledholidays-style operators
Queenstown,Onsen Hot Pools,False,TOUGH,GOOD,GOOD,LOW,"Private cliffside hot tubs with valley views; accessibility is limited by the hillside setting - contact ahead, as some rooms/access may not be step-free. A relaxing splurge.",queenstownnz (activities)
Queenstown,Queenstown Gardens,False,GOOD,EXCELLENT,GOOD,MEDIUM,"A peaceful peninsula park by the lake with flat paved paths, big trees, a rose garden and disc golf; a free, easy, accessible green space right by town. Great for families.",queenstownnz; stroller-friendly
Queenstown,Arrowtown,False,TOUGH,GOOD,TOUGH,LOW,"Historic gold-rush village nearby with a preserved main street; the main street is largely flat and charming but some heritage buildings/paths are uneven. A pretty half-day, especially in autumn.",general NZ accessibility reports
Queenstown,Kawarau Bungy Bridge (viewing),True,TOUGH,GOOD,TOUGH,LOW,"The world's first commercial bungy site; you likely won't jump, but there's a viewing area/deck to watch jumpers over the gorge - access to the main deck is reasonable, some paths sloped. A fun spectator stop.",general NZ accessibility reports
Queenstown,Below Zero Ice Bar,False,GOOD,GOOD,GOOD,LOW,"A novelty bar kept at -5C with ice sculptures and seating; central, indoor and reachable - a quirky short accessible activity in town (dress warm - capes provided).",havewheelchairwilltravel firsthand
