city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
New York,Central Park,True,GOOD,EXCELLENT,GOOD,HIGH,"Huge park with many paved, mostly level paths and several wheelchair-accessible subway stops around the perimeter (59 St-Columbus Circle, 72 St, 96 St). Bethesda Fountain, the Lake, playgrounds. Great for families.",wheelchairtravel.org; nyc official,40.7827725,-73.9653627
New York,Empire State Building,True,GOOD,GOOD,GOOD,HIGH,"Fully ADA-compliant; ramps throughout, accessible 86th-floor open-air deck with lowered viewing walls and binoculars, accessible restrooms. Strollers welcome (fold on the deck).",esbnyc.com official; newyorktickets,40.7484421,-73.9856589
New York,9/11 Memorial & Museum,True,EXCELLENT,GOOD,GOOD,HIGH,"Entirely wheelchair accessible; memorial parapets have chamfered corners so seated visitors get the same view, free loaner chairs, free care-partner ticket, lifts to the underground museum. Moving, well-designed.",911memorial.org official; spintheglobe firsthand,40.7113675,-74.0132704
New York,Statue of Liberty & Ellis Island,True,GOOD,GOOD,GOOD,HIGH,"The ferry and both islands are wheelchair accessible (boarding ramps); Liberty Island grounds and the pedestal are reachable, but the crown is NOT (narrow spiral stairs). Ellis Island Immigration Museum fully accessible.",wheelchairtravel.org; nyc tour guides,40.6892532,-74.0445482
New York,One World Observatory,True,EXCELLENT,GOOD,GOOD,HIGH,"The entire experience is fully wheelchair accessible - Sky Pod elevators to the 100th-floor observatory, panoramic views. A great high-up win with no access compromises.",spintheglobe firsthand; wheelchairtravel.org,40.7129490,-74.0130438
New York,Times Square,True,GOOD,GOOD,TOUGH,HIGH,"Flat, paved and fully rollable with pedestrian plazas, but intensely crowded day and night, which is tiring/overwhelming for seniors and slow going. Iconic to see.",wheelchairtravel.org; general,40.7570095,-73.9859724
New York,The High Line,False,GOOD,GOOD,GOOD,HIGH,"Elevated park on a former rail line; step-free access via elevators at several entrances, flat and smooth throughout. A relaxed, accessible highlight - confirm which entrances have working lifts.",nyc accessibility guides,40.7477038,-74.0048912
New York,The Oculus / WTC,False,EXCELLENT,GOOD,GOOD,MEDIUM,Striking transit hall and mall at the World Trade Center; fully accessible with lifts and vast level floors. Connects to accessible Fulton St subway.,spintheglobe firsthand,40.7120859,-74.0098739
New York,Metropolitan Museum of Art,True,GOOD,GOOD,GOOD,MEDIUM,"World-class museum; step-free entry, elevators throughout, loaner wheelchairs, accessible restrooms. Vast - pace yourself. Pay-what-you-wish for NY State residents.",nyc museum accessibility (general),40.7794396,-73.9633825
New York,Brooklyn Bridge,True,TOUGH,GOOD,TOUGH,MEDIUM,"The elevated pedestrian promenade is walkable/rollable and flat in the middle, but the Manhattan-side approach has some stairs (seek the ramp entrance) and it is extremely crowded. Great views.",nyc accessibility reports,40.7062175,-73.9970208
New York,Staten Island Ferry,False,GOOD,GOOD,GOOD,MEDIUM,Free ferry with accessible boarding and great free Statue of Liberty views; a cheap accessible way to get on the water.,nyc transit accessibility,40.6626062,-74.0521362
