city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Austin,Texas State Capitol,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Fully accessible with lifts, ramps, step-free entrances and free tours; the grounds are largely flat and paved. Easy and free.",Texas Capitol access,30.2746912,-97.7405171,
Austin,Lady Bird Lake Hike-and-Bike Trail,False,GOOD,EXCELLENT,GOOD,HIGH,Much of the trail is flat and paved/firm with accessible sections and the Boardwalk stretch fully step-free over the water; a few gravel parts. Great for wheeling and strolling.,City of Austin access,30.2482527,-97.7360916,
Austin,Congress Avenue Bridge bats,True,GOOD,GOOD,GOOD,MEDIUM,"The bat emergence is viewable from flat, step-free spots on and around the bridge and the adjacent lawn; crowded at dusk but accessible. Free.",firsthand,,,
Austin,South Congress (SoCo),False,GOOD,GOOD,GOOD,MEDIUM,"A flat, walkable strip of shops, murals and food trucks with step-free sidewalks; a few shops have a step but broadly easy and fun.",firsthand,30.2385208,-97.7504602,
Austin,Barton Springs Pool,True,TOUGH,GOOD,TOUGH,MEDIUM,"The natural spring-fed pool has an accessible entry lift and a ramp on the shallow end, but the grassy banks and some entries are uneven; partly accessible for a swim.",City of Austin access,30.2638447,-97.7701429,
Austin,Blanton Museum of Art,True,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"Modern museum with full lift access, step-free galleries and the accessible Ellsworth Kelly chapel; easy throughout.",Blanton access,30.2809591,-97.7374581,
Austin,Zilker Park,False,GOOD,EXCELLENT,GOOD,MEDIUM,"A large flat park with paved paths, accessible facilities and open lawns; broadly easy for families, some grass and gravel areas.",City of Austin access,30.2676852,-97.7668919,
Austin,Texas Hill Country / Mount Bonnell,True,FAIL,TOUGH,FAIL,LOW,The classic Mount Bonnell viewpoint is reached by a steep staircase with no accessible route; the wider Hill Country is rugged. Not suitable for wheels. Alt: lakeside overlooks by car.,firsthand,30.3081577,-97.9378679,
Austin,Franklin Barbecue / food trucks,False,GOOD,GOOD,GOOD,LOW,"Most barbecue joints and food-truck lots are at ground level with step-free service, though lines are long and some gravel lots are bumpy. Broadly accessible.",firsthand,30.2701463,-97.7312847,
Austin,The Domain,False,EXCELLENT,EXCELLENT,GOOD,LOW,"A modern open-air shopping district with flat, smooth, fully step-free sidewalks and accessible parking; very easy, well north of downtown.",firsthand,30.3969801,-97.7268752,
Austin,LBJ Presidential Library,True,EXCELLENT,GOOD,GOOD,LOW,A modern museum with full lift access and step-free galleries on the UT campus; accessible parking and entry. Easy.,LBJ Library access,30.2858948,-97.7292852,
