city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Singapore,Gardens by the Bay,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Wide smooth barrier-free paths, free loaner wheelchairs, lifts to every level of the Cloud Forest, accessible Garden Shuttle; free outdoor gardens + Garden Rhapsody light show with priority mobility zones. A top family + accessibility pick.",chairwentthere firsthand; accessible-singapore official; tripadvisor,1.2811486,103.8649600
Singapore,Marina Bay Sands SkyPark,True,GOOD,GOOD,GOOD,HIGH,Observation deck reached by elevators with accessible restrooms; panoramic skyline views. The connected mall and Helix Bridge are also fully accessible.,wheelchairtraveling; spintheglobe firsthand,1.2836965,103.8607226
Singapore,Sentosa Island,True,GOOD,EXCELLENT,GOOD,HIGH,"Accessible island resort - trams, monorail, pathways and major attractions (Universal Studios, S.E.A. Aquarium) designed for access, with beach wheelchairs at Siloso Beach. A fully accessible day out for families.",wheelchairtraveling; dmcquote,1.2489459,103.8343056
Singapore,Singapore Zoo,False,EXCELLENT,EXCELLENT,GOOD,HIGH,"Fully wheelchair accessible with free tram rides that have wheelchair slots, priority viewing at some shows, and wheelchair/scooter rentals. Spacious, landscaped and superb for families.",smartsinga firsthand; spintheglobe; dmcquote,1.4037076,103.7940374
Singapore,Singapore Botanic Gardens,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"UNESCO site with accessible boardwalks, flat well-maintained paths, free wheelchair rentals and the National Orchid Garden; benches and picnic spots. Tranquil and easy.",wheelchairtraveling; smartsinga firsthand,1.3146321,103.8156151
Singapore,Merlion Park,True,GOOD,GOOD,GOOD,HIGH,The city's most photographed landmark; barrier-free paths and accessible viewing platforms for the Marina Bay skyline shot. Accessible restrooms nearby at One Fullerton.,wheelchairtraveling; spintheglobe firsthand,1.2856852,103.8541592
Singapore,Singapore Flyer,True,GOOD,GOOD,GOOD,HIGH,Giant observation wheel; spacious air-conditioned capsules fit multiple wheelchairs with barrier-free boarding and priority access. Great views day or night.,wheelchairtraveling; smartsinga firsthand,1.2894379,103.8632598
Singapore,Chinatown,True,GOOD,GOOD,GOOD,MEDIUM,"More accessible than expected - MRT-connected, Heritage Centre and hawker food (Maxwell, Chinatown Food Street) largely accessible, though a few older shopfronts have a step. Great food.",spintheglobe firsthand; dmcquote,1.2799695,103.8436879
Singapore,National Museum of Singapore,False,GOOD,GOOD,GOOD,MEDIUM,"All galleries wheelchair accessible with accessible parking, free wheelchair rentals and sensory bags for children on the autism spectrum. Good rainy-day option.",smartsinga firsthand,1.2965476,103.8483167
Singapore,Clarke Quay & Singapore River cruise,False,GOOD,GOOD,GOOD,MEDIUM,Riverside dining precinct (MRT accessible); the bumboat river cruises are accessible for FOLDING wheelchairs with assistance but power chairs are challenging - book ahead and check with the operator.,dmcquote; smartsinga,1.2887582,103.8466978
