city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Copenhagen,Nyhavn,True,GOOD,GOOD,GOOD,HIGH,"The iconic colourful harbour; the boardwalk is mostly flat and accessible for enjoying the atmosphere, and canal boat tours have accessible boat options (book ahead). A must-see.",tourismattractions; motion4rent firsthand,55.6797360,12.5908855
Copenhagen,Tivoli Gardens,True,GOOD,EXCELLENT,GOOD,HIGH,"Historic amusement park with wide paved pathways and accessible restrooms; many rides need you to transfer from your chair, but rolling the magical gardens is worthwhile alone. Free carer tickets often available.",disabilityhorizons firsthand; curbfreewithcorylee; tourismattractions,55.6734266,12.5691891
Copenhagen,The Little Mermaid,True,GOOD,GOOD,GOOD,HIGH,"The statue sits just off the wide, well-paved, flat Langelinie Promenade - easy to view from the path, wheelchair/stroller friendly, and free. Small statue, big icon.",getyourguide; motion4rent; disabilityhorizons firsthand,55.6928661,12.5992896
Copenhagen,Rosenborg Castle,True,FAIL,TOUGH,FAIL,HIGH,"The 1600s castle interior is NOT wheelchair accessible - multiple floors via stairs, no lift, and staff may not permit taking a chair upstairs. BUT the King's Garden (Kongens Have) around it is fully accessible and lovely. Virtual interior tour online.",rosieroaming; disabilityhorizons firsthand; tripadvisor,55.6856935,12.5774199
Copenhagen,Amalienborg Palace,True,GOOD,GOOD,GOOD,HIGH,"Home of the royal family; the square/courtyard is fully accessible for the daily noon Changing of the Guard, and the museum has elevator access. Flat and easy.",tourismattractions; motion4rent; curbfreewithcorylee firsthand,,
Copenhagen,Stroget,True,GOOD,GOOD,GOOD,HIGH,One of Europe's longest pedestrian shopping streets; mostly flat with ample space between shops and cafes. Some individual older shops have a step. Easy central stroll.,tourismattractions; motion4rent,55.6799720,12.5834457
Copenhagen,National Museum of Denmark,False,GOOD,GOOD,GOOD,HIGH,"Excellent accessibility - ramps and elevators throughout the extensive exhibitions, all surfaces wheelchair accessible. Great rainy-day option for families.",tourteller official; tourismattractions,55.6747103,12.5743545
Copenhagen,Round Tower (Rundetarn),False,TOUGH,GOOD,TOUGH,MEDIUM,"Famous for its interior spiral RAMP (rare and wheelchair-friendly most of the way up), BUT the final section to the viewing platform is two sets of stairs, so the very top is not accessible.",rosieroaming firsthand; motion4rent,55.6813577,12.5757938
Copenhagen,Christiansborg Palace,True,TOUGH,GOOD,TOUGH,MEDIUM,Seat of parliament with grand halls; parts have access but the approach has some of the city's roughest cobblestones (brief but bumpy). Check specific accessible entrances.,curbfreewithcorylee firsthand,55.6756505,12.5800406
Copenhagen,Frederiksberg Gardens,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Beautiful romantic park around Frederiksberg Palace with wide paved paths; relaxed, scenic and stroller-friendly. A calm accessible retreat.",tourismattractions,,
