city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Nairobi,Giraffe Centre,True,GOOD,EXCELLENT,GOOD,HIGH,"AFEW sanctuary for endangered Rothschild's giraffes; the raised feeding platform lets you hand-feed (and get kissed by!) giraffes and is generally accessible with tour assistance. A joyful, family-friendly highlight in Langata.",wheelchairtravel.org firsthand; nairobipark; powertraveller,-1.3765618,36.7445949
Nairobi,Sheldrick Elephant Orphanage,True,GOOD,EXCELLENT,GOOD,HIGH,"The Sheldrick Wildlife Trust's nursery for rescued orphan elephants; open one hour daily (11am-12pm), you watch the calves feed and mud-bathe from an open exhibition viewing area that is largely accessible. Book/register ahead. Deeply moving.",wheelchairtravel.org firsthand; getyourguide; powertraveller,-1.3768291,36.7740729
Nairobi,Nairobi National Park,True,GOOD,GOOD,GOOD,MEDIUM,"A genuine Big Five safari on the city's edge (lions, rhino, giraffe, zebra against the skyline); done as a game drive in an open-roof 4x4 - wheelchair/stroller-accessible safari vans can be arranged, so you experience it from the vehicle. Book an accessible operator.",powertraveller; wheelchairtravel.org,-1.3745659,36.8397016
Nairobi,Karen Blixen Museum,True,GOOD,GOOD,GOOD,MEDIUM,"The 'Out of Africa' author's colonial farmhouse at the foot of the Ngong Hills; small but wheelchair accessible via a wooden ramp at the back door, with knowledgeable guides. A quiet, characterful stop.",wheelchairtravel.org firsthand,-1.3519707,36.7125131
Nairobi,Kazuri Beads,False,GOOD,GOOD,GOOD,LOW,"A ceramic-bead workshop employing single mothers and disadvantaged Kenyans ('kazuri' = small and beautiful); you can watch handcrafting and shop. Generally accessible and a meaningful, feel-good stop often paired with Karen sights.",wheelchairtravel.org firsthand; viator,-1.2976368,36.7619904
Nairobi,Nairobi National Museum,False,GOOD,GOOD,GOOD,LOW,"National museum covering Kenya's nature, culture and prehistory (early-human fossils); a modern institution generally accessible with ramps/lifts - a solid rainy-day option. Confirm specifics on arrival.",general accessibility reports,-1.2739492,36.8150071
Nairobi,Bomas of Kenya,False,TOUGH,GOOD,TOUGH,LOW,Cultural centre showcasing traditional homesteads (bomas) and daily tribal dance performances; the theatre is reachable but the recreated village grounds have uneven/dirt surfaces. Come mainly for the show.,nairobipark; general,-1.3375894,36.7686673
Nairobi,Nairobi Safari Walk,False,GOOD,GOOD,GOOD,LOW,"A raised boardwalk wildlife park at the Nairobi National Park gate (a preview of Kenya's animals); the elevated walkway is largely accessible - an easier, contained alternative to a full game drive. Good with kids.",nairobipark; general,-1.3365703,36.7775351
Nairobi,Karura Forest,False,TOUGH,GOOD,TOUGH,LOW,"An urban forest with trails, a waterfall and cafes; the main gravel/dirt paths are wide but unpaved, so manageable in parts with effort/assistance. A leafy break from the city.",general accessibility reports,-1.2387026,36.8326048
Nairobi,Uhuru Park / city viewpoint,False,GOOD,GOOD,GOOD,LOW,"Central park with a boating lake and city-skyline views; open flat areas are rollable for a photo stop, though upkeep varies. A quick central green stop, often part of a city tour.",masaimara.travel,-1.2899465,36.8167206
