city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Mumbai,Gateway of India,True,GOOD,GOOD,GOOD,HIGH,"The waterfront monument sits on a large flat paved plaza that is step-free to approach and photograph, though extremely crowded and with security checks. The plaza itself is easy.",firsthand
Mumbai,Marine Drive,False,GOOD,EXCELLENT,GOOD,HIGH,"The iconic seafront promenade is flat, paved and largely step-free for its length, with the famous curve and sunset views; easy for wheeling and strolling. Some kerbs.",firsthand
Mumbai,Elephanta Caves,True,FAIL,TOUGH,FAIL,HIGH,Reached by a ferry then a long steep staircase (or a small toy train and more steps) up to rock-cut cave temples; no accessible route to the caves. Not suitable for wheelchairs. Alt: the harbour ferry ride itself for the views.,firsthand
Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (CSMVS),True,GOOD,GOOD,GOOD,MEDIUM,The major museum has ramped access and lifts to most galleries with an accessible entrance and loaner wheelchair on request; grand grounds are largely flat. Partly to largely accessible.,CSMVS access
Mumbai,Chhatrapati Shivaji Maharaj Terminus (exterior),True,TOUGH,GOOD,TOUGH,MEDIUM,"The UNESCO Victorian-Gothic station is stunning to view from the flat plaza outside, but as a working station the interior is crowded and stepped. Admire the exterior; interior tough.",firsthand
Mumbai,Bandra Bandstand promenade,False,GOOD,GOOD,GOOD,MEDIUM,"A flat seaside promenade in trendy Bandra, largely step-free with sea views and Bollywood-star homes nearby; easy strolling though busy at sunset.",firsthand
Mumbai,Haji Ali Dargah,True,TOUGH,TOUGH,FAIL,MEDIUM,The mosque-tomb sits on an islet reached by a long narrow causeway that floods at high tide and is crowded and uneven; ramps are being improved but access is hard and tidal. Verify conditions.,firsthand
Mumbai,Crawford Market / Colaba Causeway,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Bustling markets that are flat but crowded, with uneven floors, thresholds and tight lanes; navigable slowly but a real squeeze for wheels and strollers.",firsthand
Mumbai,Hanging Gardens / Malabar Hill,False,GOOD,GOOD,TOUGH,LOW,The terraced hilltop gardens have some flat paved paths and viewpoints though a few steps and slopes; the flatter sections are pleasant and accessible.,firsthand
Mumbai,Nehru Science Centre / Planetarium,False,GOOD,EXCELLENT,GOOD,LOW,A modern museum complex with ramps and lifts and step-free galleries; good accessible option for families away from the crowds.,firsthand
Mumbai,Juhu Beach,True,TOUGH,GOOD,TOUGH,LOW,"A famous, lively beach; the promenade edges are flat but the sand itself is soft and not wheelchair-friendly without a beach chair. Promenade manageable; beach hard.",firsthand
