city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Vienna,Schonbrunn Palace,True,GOOD,GOOD,GOOD,HIGH,"All display rooms are barrier-free via ramps/lift with no steps; free loaner wheelchairs (indoor & park), accessible toilets, free companion entry, direct garden ramp. The hilltop Gloriette is a challenging climb. A must-see.",schoenbrunn.at official; rosieaccessibleworld; tripduck
Vienna,Hofburg Imperial Palace,True,GOOD,GOOD,GOOD,HIGH,"Barrier-free with ramps and lifts (one entrance uses a neat rising-platform to door height); Imperial Apartments, Silver Collection and Sisi Museum all accessible. Plan time - it's huge.",disabilityhorizons firsthand; motion4rent; rosieaccessibleworld
Vienna,St. Stephen's Cathedral,True,GOOD,GOOD,TOUGH,HIGH,Accessible via a side entrance on the north side; main floor and altar area reachable. The towers are NOT accessible (steep narrow stairs). Stephansplatz outside is flat.,tripduck; disabilityhorizons; motion4rent
Vienna,Belvedere Palace,True,GOOD,GOOD,GOOD,HIGH,"Fully accessible with ramps and lifts to the exhibitions (world's largest Klimt collection, 'The Kiss'); accessible toilets and parking. Baroque gardens largely navigable.",tripduck; disabledaccessibletravel
Vienna,Prater & Giant Ferris Wheel,True,GOOD,GOOD,GOOD,HIGH,Ramps and accessible pathways through the park; the iconic Wiener Riesenrad Ferris wheel is wheelchair accessible. Some individual rides vary - check ahead. Fun for families.,tripduck; disabilityhorizons firsthand
Vienna,Kunsthistorisches Museum,False,GOOD,GOOD,GOOD,HIGH,"Step-free entrances, lifts and ramps throughout the grand art-history halls; tactile tours for visual impairment. Fully committed to access.",rosieaccessibleworld firsthand
Vienna,Stadtpark,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Central park with flat paths all the way round and the gilded Johann Strauss monument; easy, relaxed, stroller-friendly.",disabilityhorizons firsthand
Vienna,Naschmarkt,False,GOOD,GOOD,GOOD,MEDIUM,"Vienna's big open-air market; flat and largely navigable, though busy stalls get tight. Great food stop.",disabledaccessibletravel; motion4rent
Vienna,Vienna State Opera,True,GOOD,GOOD,GOOD,MEDIUM,Accessible entrance with a wheelchair ramp and dedicated accessible seats (book early - they sell out). Grand and worth a performance or tour.,motion4rent; disabilityhorizons
Vienna,Innere Stadt (old town: Graben/Kohlmarkt),True,GOOD,GOOD,GOOD,MEDIUM,"The historic core is relatively accessible - Graben and Kohlmarkt have been re-laid with flat well-fitted cobbles; some side streets stay rougher. Pleasant, walkable centre.",motion4rent
