city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Cairo,Pyramids of Giza & Sphinx,True,TOUGH,TOUGH,FAIL,HIGH,"The plateau can be toured by car/accessible vehicle to viewpoints of the pyramids and Sphinx, but the ground is sand and uneven rock and entering the pyramids means steep, cramped stair passages with no access. Views by vehicle possible; interiors not.",wheelchairtravel.org; firsthand,30.0183006,31.0730575,
Cairo,Grand Egyptian Museum (GEM),True,EXCELLENT,EXCELLENT,GOOD,HIGH,"The vast new museum is modern and fully accessible with ramps, lifts, step-free galleries and accessible facilities; a genuinely easy world-class experience.",GEM access,29.9945754,31.1190738,
Cairo,Khan el-Khalili Bazaar,True,TOUGH,TOUGH,TOUGH,MEDIUM,"The medieval market is flat but a dense warren of narrow, uneven, crowded lanes with thresholds; navigable slowly with help but very hard for wheels and strollers.",firsthand,30.0479005,31.2608844,
Cairo,Egyptian Museum (Tahrir),True,TOUGH,GOOD,TOUGH,MEDIUM,The historic museum has a ramped main entrance and ground-floor access but the upper floor is reached by grand stairs with limited lift options; partly accessible on the ground level.,firsthand,30.0479664,31.2336093,
Cairo,Coptic Cairo / Hanging Church,True,TOUGH,GOOD,TOUGH,MEDIUM,The old Christian quarter has some flat lanes but the Hanging Church is reached up a flight of steps and several sites have thresholds; partly accessible around the flat streets.,firsthand,30.0064658,31.2318439,
Cairo,Citadel of Saladin & Muhammad Ali Mosque,True,TOUGH,GOOD,TOUGH,MEDIUM,"The hilltop citadel has some flat courtyards and ramped areas near the great mosque, but the overall site is elevated with uneven ground and steps; partly accessible with effort.",firsthand,30.0292997,31.2615831,
Cairo,Al-Azhar Park,False,GOOD,EXCELLENT,GOOD,MEDIUM,"A beautifully landscaped hilltop park with mostly flat paved paths, ramps and city views; a rare accessible green oasis, some gentle slopes.",Al-Azhar Park access,30.0401004,31.2640801,
Cairo,Nile felucca / dinner cruise,False,TOUGH,GOOD,TOUGH,MEDIUM,"Larger Nile cruise boats sometimes have ramped boarding and flat decks, though traditional feluccas require a step down; the bigger dinner boats are more accessible. Confirm boarding.",firsthand,,,
Cairo,Saqqara & Step Pyramid,True,TOUGH,TOUGH,FAIL,LOW,"The desert necropolis can be approached by vehicle to viewpoints, but the sandy, uneven site and tomb interiors are not accessible. Views by car; site itself hard.",firsthand,30.0722285,31.0154475,
Cairo,Sultan Hassan & Al-Rifa'i Mosques,True,TOUGH,GOOD,TOUGH,LOW,"Monumental mosques with some ramped entrances but raised thresholds, vast stone floors and steps between areas; partly accessible with assistance.",firsthand,30.0324087,31.2562365,
Cairo,Cairo Tower,True,GOOD,GOOD,GOOD,LOW,A lift carries visitors to the observation deck for panoramic Nile views; the deck is accessible and the base is on flat ground. Easy once there.,firsthand,30.0460136,31.2243131,
