city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Lisbon,Jeronimos Monastery,True,GOOD,GOOD,GOOD,HIGH,"In flat Belem; fully wheelchair accessible and FREE for disabled visitors, with an accessible toilet and free loaner manual chairs at the entrance. Entrance ramp is a bit steep (staff assist). A must-see.",wheelchairtraveling.com firsthand; tweshastraveldiary; disabledaccessibletravel,38.6977531,-9.2055912
Lisbon,Belem Tower,True,TOUGH,GOOD,TOUGH,HIGH,"Iconic riverside tower; exterior, riverside walkway and compass plaza are flat/step-free, but the INTERIOR is not accessible (9cm threshold + narrow spiral staircases, no lift). View from outside.",disabledaccessibletravel Belem; visit-lisbon.net; tweshastraveldiary,38.6915860,-9.2159288
Lisbon,Monument to the Discoveries,True,GOOD,GOOD,GOOD,MEDIUM,Waterfront monument in flat Belem; the plaza and compass-rose mosaic are step-free and reachable. Note: crossing from the tram side involves the infamous stairs-only bridge/tunnel - approach from the accessible side.,tweshastraveldiary; wheelchairtraveling.com,38.6936054,-9.2057002
Lisbon,Alfama district,True,FAIL,TOUGH,FAIL,HIGH,"Lisbon's oldest quarter: a maze of steep, narrow cobbled streets and endless stairs up toward the castle. Genuinely hostile to wheelchairs and hard with a stroller. Atmospheric on foot/carrier only.",wheelchairtraveling.com firsthand; tweshastraveldiary,38.7098185,-9.1328001
Lisbon,Sao Jorge Castle,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Hilltop castle over the city; the bus up is not accessible, but there is a lift partway up near the hospital that gets you close. Grounds have cobbles and slopes. Reached via steep Alfama.",wheelchairtraveling.com firsthand; disabledaccessibletravel,38.7139258,-9.1334830
Lisbon,Tram 28 ride,True,FAIL,TOUGH,FAIL,HIGH,"The iconic vintage yellow tram is NOT wheelchair or stroller accessible - steep steps, narrow doors, and long queues. For an accessible tram use the modern low-floor 15E to Belem instead.",historicquarters tram guides; wheelchairtraveling.com,,
Lisbon,Baixa district,True,GOOD,GOOD,GOOD,MEDIUM,"The flat downtown grid (Praca do Comercio, Rua Augusta); ~90% of curbs are lowered, largely level and navigable - the easy counterpoint to hilly Alfama.",wheelchairtraveling.com firsthand,38.7102408,-9.1356714
Lisbon,Oceanario de Lisboa,False,EXCELLENT,EXCELLENT,GOOD,HIGH,One of the world's great aquariums at Parque das Nacoes; fully wheelchair accessible and explicitly recommended for families with small children. Under-6s often free.,disabledaccessibletravel (family note),38.7635196,-9.0937161
Lisbon,Santa Justa Lift,True,TOUGH,GOOD,TOUGH,MEDIUM,Iconic 1902 iron elevator linking Baixa to Carmo; the lift itself + viewing platform have access limits and long queues - often best viewed from outside. Free with some transit passes.,disabledaccessibletravel Lisbon tour; general,38.7121169,-9.1393753
Lisbon,Parque das Nacoes,False,GOOD,GOOD,GOOD,MEDIUM,"Modern flat riverside district (Expo '98 site) with wide promenades, cable car, and the Oceanario; easy, level and stroller/wheelchair friendly.",disabledaccessibletravel; hop-on-hop-off,38.7638712,-9.0953729
Lisbon,Belem highway crossing,False,FAIL,TOUGH,FAIL,HIGH,"Not a sight but a hazard: to reach Belem Tower/Discoveries from the tram side, the only pedestrian bridge and tunnel are STAIRS-ONLY. Use an adapted taxi to drop on the waterfront side.",wheelchairtraveling.com firsthand,,
