city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Cape Town,Table Mountain (Aerial Cableway),True,GOOD,GOOD,GOOD,HIGH,"Iconic flat-topped mountain; the rotating cableway is wheelchair accessible - skip-the-line, staff assist boarding, and the summit has a paved round route, cafe and accessible toilets. Closes on windy days with no notice, so book online + go early on a clear morning.",littlemissturtle firsthand; wheelchairtravel.org; viviennegunning,-33.9590635,18.4038716
Cape Town,V&A Waterfront,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"The city's most accessible precinct - flat, well-maintained, properly ramped throughout, with an open-plan accessible food market, 450+ shops, dining and the Cape Wheel (2 cabins built for wheelchair users). The Robben Island ferry departs here.",viviennegunning firsthand; theworldisaccessible,-33.9060023,18.4195264
Cape Town,Robben Island,True,TOUGH,GOOD,TOUGH,HIGH,"Nelson Mandela's prison island (UNESCO); the ferry crossing and the bus tour are wheelchair accessible, but the island itself has unpaved paths and long distances between points - manageable for strong manual users/companions, tough for power chairs. Contact the museum before booking.",wheelchairtravel.org firsthand; viviennegunning,-33.8053000,18.3688835
Cape Town,Kirstenbosch Botanical Garden,True,GOOD,EXCELLENT,TOUGH,HIGH,"'Africa's most beautiful garden' at Table Mountain's foot; mostly accessible with disabled parking + accessible toilets AND the fully accessible Boomslang tree-canopy walkway - BUT the garden slopes uphill, so some steep sections need a push. Beautiful.",littlemissturtle firsthand; theworldisaccessible,-33.9856109,18.4301425
Cape Town,Boulders Beach (penguins),True,GOOD,EXCELLENT,GOOD,HIGH,African penguin colony at Simon's Town; a well-built wheelchair-accessible wooden boardwalk lets you get close to the penguins. A genuine accessible highlight and a family favourite.,littlemissturtle firsthand; theworldisaccessible; offtocapetown,-34.1980721,18.4523602
Cape Town,Signal Hill,False,GOOD,GOOD,GOOD,MEDIUM,"Lookout beside Lion's Head; lots of parking, accessible restrooms and mostly accessible paths - a top spot for photos of Table Mountain and famous Cape Town sunsets. Easy.",littlemissturtle firsthand; wheelchairtravel.org,-33.9170033,18.4039138
Cape Town,Cape Point / Cape of Good Hope,True,TOUGH,GOOD,TOUGH,MEDIUM,"Dramatic peninsula tip; the drive and viewpoints are scenic and partly accessible, but reaching the lighthouse involves a steep funicular/climb and rugged terrain. Great as a scenic drive with select accessible stops.",theworldisaccessible; offtocapetown,-34.3573947,18.4977883
Cape Town,Two Oceans Aquarium,False,GOOD,EXCELLENT,GOOD,MEDIUM,"At the V&A Waterfront; fully accessible with lifts and ramps, a big hit with families and a reliable rainy-day option. Combine with the waterfront.",viviennegunning; general,-33.9080275,18.4174786
Cape Town,Bo-Kaap,True,TOUGH,GOOD,TOUGH,MEDIUM,"The photogenic brightly-painted Malay Quarter; the colourful houses are a must-photo, but the neighbourhood is on a slope with some cobbled/steep streets, so tougher for wheels. View the main accessible stretches.",getyourguide; general,-33.9205609,18.4128809
Cape Town,Blouberg Beach (Bloubergstrand),False,GOOD,EXCELLENT,GOOD,MEDIUM,"Beachfront suburb 15 min north with the classic postcard Table Mountain view across the bay; dedicated parking, accessible restrooms and an accessible beach walk/promenade. Relaxed and scenic.",littlemissturtle firsthand,-33.8088015,18.4847337
