city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Melbourne,Federation Square,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"A flat, paved, fully step-free civic plaza with ramps and accessible venues; the central hub is easy for everyone. Some gently sloped sections.",Fed Square access
Melbourne,NGV (National Gallery of Victoria),True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Fully accessible with lifts, step-free entrances, loaner wheelchairs and free main-collection entry; flat galleries. One of the easiest big attractions.",NGV access
Melbourne,Royal Botanic Gardens,False,GOOD,EXCELLENT,GOOD,HIGH,"Extensive gardens with many flat, wide firm and paved paths, accessible facilities and loaner wheelchairs; some gentle slopes and lawns but broadly excellent for all.",RBG Victoria access
Melbourne,Queen Victoria Market,True,GOOD,GOOD,GOOD,MEDIUM,"The historic market is largely at ground level with mostly flat aisles and accessible entrances, though busy and with some uneven sheds; broadly navigable. Go off-peak for space.",QVM access
Melbourne,Melbourne CBD laneways & arcades,True,GOOD,GOOD,GOOD,MEDIUM,"The famous laneways and Victorian arcades (Block, Royal) are mostly flat and step-free with smooth or paved surfaces, though some cafes have a step and a few lanes are cobbled. Broadly easy.",firsthand
Melbourne,Melbourne Museum,True,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"A modern museum with full lift access, step-free galleries, loaner wheelchairs and accessible toilets; excellent for families and wheelchairs.",Melbourne Museum access
Melbourne,Southbank & Yarra Promenade,False,EXCELLENT,EXCELLENT,GOOD,HIGH,"The riverside promenade is flat, wide, paved and fully step-free with ramps and lifts to bridges; easy and scenic for wheeling and strolling.",firsthand
Melbourne,St Kilda Beach & Pier,True,GOOD,EXCELLENT,GOOD,MEDIUM,The beachfront path and the pier are largely flat and accessible with a boardwalk and beach matting/wheelchairs at times; the penguin colony at the pier's end is reached along an accessible-ish breakwater. Broadly easy.,firsthand
Melbourne,Melbourne Cricket Ground (MCG),True,GOOD,GOOD,GOOD,MEDIUM,"The great stadium has extensive accessible seating, lifts, ramps and facilities and an accessible tour; book accessible spots ahead. Very well equipped.",MCG access
Melbourne,Fitzroy street art / Brunswick,False,GOOD,GOOD,GOOD,LOW,"The hip inner suburbs are flat and walkable with step-free footpaths for street-art wandering and cafes, though the odd venue has a step. Broadly accessible strolling.",firsthand
Melbourne,Eureka Skydeck,True,GOOD,GOOD,GOOD,LOW,High-speed lifts reach the accessible observation deck with panoramic views; step-free throughout (the 'Edge' glass cube has a small lip). Easy.,Eureka Skydeck access
