city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Rome,Colosseum,True,GOOD,GOOD,TOUGH,HIGH,Wheelchair accessible with a lift to the second tier and ramps; ground floor accessible and free for disabled visitors. The underground and upper tiers are NOT accessible. Pre-book timed entry.,wheelchairtravel.org firsthand; tourismattractions.net; romewise
Rome,Pantheon,True,GOOD,GOOD,GOOD,HIGH,Very wheelchair accessible and free entry; a metal ramp on the left of the portico gives step-free access. Piazza della Rotonda outside is flat with fairly uniform cobbles.,wheelchairtravel.org; wheeltheworld; romewise
Rome,Trevi Fountain,True,TOUGH,GOOD,TOUGH,HIGH,"Accessible to reach but the viewing space is small and steps down toward the basin; extremely crowded, best at dawn. Manageable but tight for wheels/seniors in crowds.",romewise firsthand; wheelchairtravel.org
Rome,Piazza Navona,True,GOOD,GOOD,GOOD,HIGH,"Completely accessible Baroque square with the Bernini fountains; cobbled but the sidewalks are navigable, lots of cafes. Easy and pleasant.",wheelchairtravel.org firsthand; romewise
Rome,Vatican Museums & Sistine Chapel,True,GOOD,GOOD,GOOD,HIGH,"Accessible routes throughout with lifts, free loaner manual wheelchairs, free disabled entry and skip-the-line; a few areas bar power chairs. Book an accessible route in advance.",wheeltheworld; stpetersbasilicawheelchair; tourismattractions.net
Rome,St. Peter's Basilica,True,GOOD,GOOD,GOOD,HIGH,Largely accessible with ramps and lifts and step-free entry (skip the line as a wheelchair user). The dome climb is not accessible. St Peter's Square is vast and flat.,tourismattractions.net; stpetersbasilicawheelchair
Rome,Roman Forum & Palatine Hill,True,TOUGH,TOUGH,FAIL,HIGH,"Ancient site with uneven terrain, gravel, slopes and cobbles; only specific flat pathways are accessible and Palatine Hill needs an intrepid route or a special all-terrain chair. Hard for seniors/toddlers.",romewise firsthand; tourismattractions.net
Rome,Spanish Steps,True,TOUGH,GOOD,TOUGH,MEDIUM,"The famous steps themselves are stairs, but you can enjoy the view and Piazza di Spagna from the base without climbing. Surrounding area flat-ish with crowds.",wheeltheworld; blog.wheeltheworld
Rome,Borghese Gallery & Gardens,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Gallery has elevators to all floors (book timed tickets far ahead); Villa Borghese gardens are large, green and largely flat with a zoo - great for families. A relaxed accessible pairing.",tourismattractions.net; stpetersbasilicawheelchair
Rome,Castel Sant'Angelo,True,TOUGH,GOOD,TOUGH,MEDIUM,"An elevator takes wheelchair users to the top for the view, but much of the visit is a walk up and around the building and options are limited. Partly accessible.",romewise firsthand
Rome,Trastevere,False,TOUGH,GOOD,TOUGH,MEDIUM,"Charming old neighbourhood; Piazza Santa Maria in Trastevere is fairly flat and easy, but many surrounding lanes are rough uneven cobbles. Great food/atmosphere.",romewise
