city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Athens,Acropolis & Parthenon,True,TOUGH,TOUGH,FAIL,HIGH,"A wheelchair lift and an accessible path reach the summit, but the ground is uneven ancient marble and rock, often slippery, and the lift is periodically out of service. Verify the lift is running before visiting. Very hard for seniors/toddlers on foot.",Greek Culture Ministry; wheelchairtravel.org,37.9716894,23.7263197,
Athens,Acropolis Museum,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Modern, fully accessible museum with lifts to every level, free disabled entry and companion, glass floors over ruins. One of the easiest and best sites in the city.",Acropolis Museum access; wheeltheworld,37.9685331,23.7284706,
Athens,Ancient Agora,True,TOUGH,TOUGH,FAIL,HIGH,"An open archaeological site with gravel paths, uneven ground and slopes; the reconstructed Stoa has some access but much of it is rough underfoot. Hard on wheels and for seniors.",Greek Culture Ministry,37.9750214,23.7241932,
Athens,Plaka old town,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Charming but built on the Acropolis slope with cobbles, marble, steps and steep lanes; some flatter shopping streets exist but much is hard to wheel or push a stroller through.",firsthand,,,
Athens,Syntagma Square & Changing of the Guard,True,GOOD,GOOD,GOOD,MEDIUM,"The square and the Tomb of the Unknown Soldier are at street level and largely flat/step-free to view the hourly guard change, though busy. Ramped access from the Metro.",firsthand,37.9755158,23.7349503,
Athens,National Garden,False,GOOD,EXCELLENT,GOOD,MEDIUM,"A shaded central park with mostly flat firm and paved paths, ponds and a playground; a cool, easy retreat for families and seniors, some gravel.",firsthand,37.9735816,23.7377926,
Athens,Monastiraki & flea market,True,TOUGH,TOUGH,TOUGH,MEDIUM,"A lively flat-ish square but the market lanes are crowded, uneven and tight; manageable in parts but a squeeze with wheels or a stroller.",firsthand,37.9764307,23.7259053,
Athens,Panathenaic Stadium,True,TOUGH,GOOD,TOUGH,MEDIUM,The all-marble ancient stadium is reachable at track level (flat) but the seating is steep marble steps with no accessible route up. Track and infield fine; stands not.,Panathenaic Stadium access,37.9684357,23.7409451,
Athens,Lycabettus Hill,True,TOUGH,TOUGH,FAIL,MEDIUM,"A funicular reaches near the summit for panoramic views, easing the climb, but the very top and some paths still involve steps. Funicular helps; summit paths uneven.",firsthand,37.9803157,23.7440055,
Athens,Temple of Olympian Zeus,True,TOUGH,GOOD,TOUGH,MEDIUM,An open site viewable from a largely flat perimeter with a gravel/earth interior path; the ruins themselves are surrounded by uneven ground. Partly manageable.,Greek Culture Ministry,37.969437,23.7330955,
Athens,Stavros Niarchos Cultural Center,False,EXCELLENT,EXCELLENT,EXCELLENT,MEDIUM,"A modern cultural park with fully accessible ramps, lifts, flat paths and a rooftop; superb for wheelchairs, strollers and seniors, a little outside the centre.",SNFCC access,37.9410423,23.693306,
