city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Jaipur,Hawa Mahal,True,TOUGH,GOOD,TOUGH,HIGH,"The famous pink facade is best viewed and photographed from the flat street or the cafe opposite (step-free), but entering and climbing the palace itself is via ramps-and-stairs with narrow levels. View easy; interior hard.",firsthand
Jaipur,City Palace,True,TOUGH,GOOD,TOUGH,HIGH,"The palace complex has flat courtyards and partial ground-floor accessible routes, but many sections, the museums and upper levels have steps and thresholds. Partly accessible on the ground level.",City Palace access; firsthand
Jaipur,Amber (Amer) Fort,True,FAIL,TOUGH,FAIL,HIGH,"A magnificent hilltop fort reached by a steep ramp/road (jeeps available) with cobbled ascents; inside, the levels are connected by stairs and steep ramps with no accessible route through. Very hard for wheels and seniors.",firsthand
Jaipur,Jantar Mantar,True,GOOD,GOOD,GOOD,MEDIUM,"The astronomical instrument park is largely flat and open with paved/firm ground between the structures; step-free to move around, though the instruments themselves are climbed by the able-bodied. Grounds accessible.",firsthand
Jaipur,Albert Hall Museum,True,TOUGH,GOOD,TOUGH,MEDIUM,A grand Indo-Saracenic museum; the surrounding gardens and plaza are flat but the building is entered up a flight of steps with limited ramp access. Exterior and grounds easy; interior stepped.,firsthand
Jaipur,Jal Mahal (viewpoint),True,GOOD,GOOD,GOOD,MEDIUM,"The 'water palace' is viewed from a flat, paved lakeside promenade (you can't enter it); the viewpoint is step-free and easy, a good accessible photo stop.",firsthand
Jaipur,Nahargarh Fort,True,TOUGH,TOUGH,FAIL,MEDIUM,"A hilltop fort with panoramic sunset views reached by car up a winding road, but the fort interior and ramparts are stepped and uneven; the approach terrace offers views. Views accessible by car; fort interior not.",firsthand
Jaipur,Johari & Bapu Bazaar,True,TOUGH,TOUGH,TOUGH,MEDIUM,"The vibrant bazaars are flat but extremely crowded with broken, encroached footpaths and traffic; navigable slowly with help but a real challenge for wheels and strollers.",firsthand
Jaipur,Jaigarh Fort,True,FAIL,TOUGH,FAIL,LOW,"A rugged hill fort reached by a steep road, with stepped, uneven interiors and the giant cannon; not accessible beyond the entrance area. Views from the approach only for wheels.",firsthand
Jaipur,Birla Mandir,True,TOUGH,GOOD,TOUGH,LOW,A white-marble temple set on a raised plinth reached by steps; the gardens around are flat but the temple entry is stepped. Grounds accessible; temple stepped.,firsthand
Jaipur,Chokhi Dhani (cultural village),False,TOUGH,GOOD,TOUGH,LOW,"A popular ethnic-village resort with cultural shows and food; much is on uneven earth and sand with some steps, though parts are navigable. Mixed, rustic terrain.",firsthand
