city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Cusco,Plaza de Armas,True,TOUGH,GOOD,TOUGH,HIGH,"The grand main square is relatively flat with paved and cobbled sections, step-free to cross and enjoy, though the surrounding streets climb steeply; the altitude tires everyone. The square itself is manageable.",firsthand
Cusco,Cusco Cathedral,True,TOUGH,GOOD,TOUGH,MEDIUM,The cathedral is entered up steps from the plaza with limited ramp access and stone floors inside; partly accessible with assistance at best. Grand but stepped.,firsthand
Cusco,Qorikancha (Temple of the Sun),True,TOUGH,GOOD,TOUGH,MEDIUM,The Inca-colonial temple has some flat courtyard areas but is entered up steps and set on a slope with uneven stone; partly accessible on the ground level with help.,firsthand
Cusco,San Pedro Market,True,TOUGH,TOUGH,TOUGH,MEDIUM,"A vibrant covered market that is flat inside but crowded, with tight aisles, thresholds and uneven floors; navigable slowly but a squeeze for wheels and strollers.",firsthand
Cusco,Sacsayhuamán,True,FAIL,TOUGH,FAIL,HIGH,"The great Inca fortress on the hill above Cusco is a vast site of steep grassy slopes and massive uneven stonework reached by a climb; not accessible for wheels, and the altitude compounds it. Views from the road only.",firsthand
Cusco,San Blas neighborhood & viewpoint,True,FAIL,TOUGH,FAIL,MEDIUM,"The artist quarter climbs steep, narrow cobbled and stepped lanes to its viewpoint; charming but very hard for wheels and strenuous at altitude. Not accessible.",firsthand
Cusco,Twelve-Angled Stone / Inca streets,True,TOUGH,TOUGH,TOUGH,MEDIUM,"The famous Inca stonework lines steep, narrow cobbled pedestrian streets; viewable while navigating the slopes but the surfaces and gradients are hard for wheels and strollers.",firsthand
Cusco,Museo Inka,True,TOUGH,GOOD,TOUGH,LOW,"A colonial-mansion museum entered up steps with stairs between floors; limited accessibility, partly viewable on the ground level. Historic building constraints.",firsthand
Cusco,Machu Picchu (day trip),True,TOUGH,TOUGH,FAIL,HIGH,"The wonder is reached by train and bus, and while there are limited assisted-access arrangements, the citadel is fundamentally a site of steep stone terraces and steps; largely not accessible, though the lower viewpoints can sometimes be reached with significant assistance. Plan carefully.",firsthand
Cusco,Sacred Valley (Pisac/Ollantaytambo),True,FAIL,TOUGH,FAIL,LOW,The valley's Inca ruins are dramatic hillside terraces reached by steep stone stairs; the towns have some flat plazas but the sites themselves are not accessible. Valley drives and town squares are the accessible parts.,firsthand
Cusco,ChocoMuseo / central cafes,False,GOOD,GOOD,GOOD,LOW,"Several central ground-floor cafes, chocolate museums and shops around the plaza have step-free or single-step access on the flatter blocks; accessible pockets amid the hills.",firsthand
