city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Edinburgh,Edinburgh Castle,True,TOUGH,TOUGH,TOUGH,HIGH,"A courtesy mobility vehicle carries wheelchair users up the steep cobbled entry, and much of the upper castle is then accessible, but some historic buildings have stairs and the setts are rough. Book the accessible arrangement ahead.",Historic Environment Scotland access
Edinburgh,Royal Mile,True,TOUGH,TOUGH,TOUGH,HIGH,"The famous street slopes steeply from castle to palace over cobbled setts, with stepped closes off each side; wheelable downhill with effort but jarring and tiring, hard uphill. Setts throughout.",firsthand
Edinburgh,National Museum of Scotland,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Free, fully accessible with lifts to all levels, step-free entrance, loaner wheelchairs and a rooftop terrace. One of the easiest and best rainy-day options.",NMS access
Edinburgh,Arthur's Seat,True,FAIL,FAIL,FAIL,HIGH,"An extinct volcano reached only by steep, rough, unpaved hill paths; no accessible route to the summit. Not suitable for wheelchairs, strollers or limited mobility. Alt: drive up to Dunsapie Loch for a view.",firsthand
Edinburgh,Calton Hill,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Panoramic hill with monuments; there is a longer accessible path from the eastern road side avoiding the main staircase, but the direct route is stepped. Views are worth the detour.",firsthand
Edinburgh,Palace of Holyroodhouse,True,TOUGH,GOOD,TOUGH,MEDIUM,The ground-floor State Apartments have an accessible route but upper floors and the ruined abbey involve stairs and uneven ground; a virtual tour covers the rest. Partly accessible.,Royal Collection Trust access
Edinburgh,Princes Street Gardens,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Flat, paved central gardens beneath the castle with step-free paths (some ramped access points), benches and views; easy for strollers and seniors, a few slopes.",City of Edinburgh access
Edinburgh,Scottish National Gallery,True,GOOD,GOOD,GOOD,MEDIUM,Free with lift access between levels and a step-free entrance from the gardens side (the Mound entrance has steps); flat galleries once inside.,National Galleries Scotland access
Edinburgh,New Town / George Street,False,GOOD,GOOD,GOOD,MEDIUM,"The Georgian grid is comparatively flat with wide smooth pavements, elegant shopping and dining; the easiest wheeling and strolling in the city, gentle gradients only.",firsthand
Edinburgh,Dean Village & Water of Leith,False,TOUGH,GOOD,TOUGH,MEDIUM,"A picturesque riverside walk; the main Water of Leith path is largely flat and firm but access down into Dean Village involves steep steps in places. Parts accessible, parts not.",firsthand
Edinburgh,Royal Botanic Garden Edinburgh,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Large garden with mostly flat firm and paved paths, accessible glasshouses and loaner wheelchairs; some gentle slopes but broadly easy and lovely for families.",RBGE access
