city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Seoul,Gyeongbokgung Palace,True,GOOD,GOOD,GOOD,HIGH,"Most accessible palace in Korea; ramps everywhere, free loaner wheelchairs/strollers, free electric carts around the vast grounds, accessible restrooms, and the hourly Changing of the Guard is viewable seated. Palace buildings/throne hall not enterable; one cobbled courtyard is rough.",curbfreewithcorylee firsthand; wheelchairtravel.org; visitseoul official
Seoul,Bukchon Hanok Village,True,TOUGH,GOOD,TOUGH,HIGH,"Beautiful traditional hanok neighbourhood, but genuinely hilly - a power chair manages the inclines, a manual chair needs assistance. Worth it for the architecture; go with a companion.",curbfreewithcorylee firsthand
Seoul,Myeongdong,True,GOOD,GOOD,GOOD,HIGH,"Seoul's 'Times Square' shopping/street-food district; well-cared-for sidewalks, streets closed to cars by day, most stores accessible. Flat and easy, gets crowded.",wheelchairtravel.org; curbfreewithcorylee firsthand
Seoul,Cheongwadae (Blue House),False,GOOD,GOOD,GOOD,HIGH,"Former presidential residence, now open; smooth well-maintained grounds, no steps at entrance, elevator between the two floors inside. Surprisingly accommodating.",curbfreewithcorylee firsthand
Seoul,National Folk Museum of Korea,False,GOOD,GOOD,GOOD,MEDIUM,"On the Gyeongbokgung grounds; accessible with elevators/ramps, showcasing Korean folk life. Good pairing with the palace and a solid rainy-day option.",wheelchairtravel.org; spintheglobe
Seoul,Dongdaemun Design Plaza (DDP),False,GOOD,GOOD,GOOD,MEDIUM,"Zaha Hadid's futuristic landmark; modern, fully accessible with lifts and smooth flowing floors. Design shows and night lighting.",spintheglobe
Seoul,N Seoul Tower (Namsan),True,GOOD,GOOD,GOOD,MEDIUM,Iconic hilltop tower with city views; reachable and the tower has elevators to the observation deck. Getting up Namsan is easiest via accessible options (some cable-car/transfer steps) - check on the day.,wheelchairtravel.org (cable car note)
Seoul,Han River Parks (Yeouido),False,GOOD,EXCELLENT,GOOD,MEDIUM,"Riverside parks with wide flat paved paths, bike/roll lanes, picnic lawns and cruise options; relaxed and stroller-friendly. Great for families.",general Seoul accessibility guides
Seoul,Insadong,True,GOOD,GOOD,TOUGH,MEDIUM,"Traditional arts-and-crafts street; the main pedestrianized stretch is largely flat and navigable, though some galleries/tea houses have steps. Great for souvenirs.",koreatripguide; general
Seoul,Changdeokgung Palace,True,TOUGH,GOOD,TOUGH,MEDIUM,UNESCO palace with the famous Secret Garden; main courtyards partly accessible via ramps but the Secret Garden and some areas have slopes/gravel/steps. Less accessible than Gyeongbokgung.,wheelchairtravel.org (Asia palaces)
