city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Tokyo,Senso-ji Temple,True,GOOD,GOOD,GOOD,HIGH,"Tokyo's oldest temple; grounds fully paved, an elevator/ramp on the left reaches the main hall. Nakamise approach is flat but extremely crowded on weekends.",japan-accessible.com; therealjapan; curbfreewithcorylee
Tokyo,Meiji Shrine,True,GOOD,GOOD,GOOD,HIGH,"Wide paved paths and ramps throughout; gravel main path has a smooth paved strip for wheels/strollers. Serene, free entry, step-free to the shrine.",rollwithasmile; tokyocheapo; therealjapan
Tokyo,Ueno Park,True,GOOD,EXCELLENT,GOOD,HIGH,"Large flat park, mostly accessible with rest spots; museums (Tokyo National, Western Art, Science) accessible & free for disabled + companion. Some temple buildings in-park have steps.",japan-accessible.com; rollwithasmile; accessible-japan Ueno guide
Tokyo,Ueno Zoo,False,GOOD,EXCELLENT,GOOD,HIGH,"Japan's oldest zoo, next to Ueno Park; fully wheelchair accessible with enough accessible restrooms; giant pandas. Some hilly sections. Great with kids.",littlemissturtle; japan-accessible.com
Tokyo,Shibuya Crossing,True,GOOD,GOOD,TOUGH,MEDIUM,"The world's busiest crossing; curb cuts and tactile paving everywhere and surrounding malls (Scramble Square, Hikarie) have elevators, but it's intensely crowded which is hard for seniors/manual chairs.",exploringtheworldonwheels; curbfreewithcorylee
Tokyo,Meiji Jingu Gyoen (inner garden),False,TOUGH,TOUGH,TOUGH,MEDIUM,The inner garden within Meiji Shrine has gravel paths and can only be fully accessed via some stairs; only partly paved. The shrine itself is accessible but this garden is not.,therealjapan; accessible-japan
Tokyo,Tokyo Skytree,True,EXCELLENT,GOOD,GOOD,HIGH,"Modern tower with full step-free access, wheelchair rentals, and priority elevator access to the observation decks. Easy back-to-back with Senso-ji.",tokyocheapo; curbfreewithcorylee
Tokyo,Shinjuku Gyoen National Garden,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Large, famous garden that is wheelchair accessible with wide flat paths; relaxed and great for families and cherry blossoms.",japan-accessible.com
Tokyo,Shibuya (Omotesando/Harajuku streets),True,TOUGH,GOOD,TOUGH,MEDIUM,"Trend districts; Omotesando and NW Shibuya streets are notably hilly, hard in a manual wheelchair, and Takeshita-dori is narrow and crowded. Department stores are accessible.",japan-accessible.com
Tokyo,Roppongi Hills / Tokyo Midtown,False,GOOD,GOOD,GOOD,MEDIUM,Two huge modern complexes that are wheelchair-friendly with accessible restaurants and metro stations; easy indoor wins.,japan-accessible.com
Tokyo,teamLab (digital art museum),False,GOOD,GOOD,GOOD,LOW,"Modern immersive digital-art venue, generally step-free; some dark/uneven immersive rooms. Confirm current venue accessibility when booking.",general accessibility reports
Tokyo,Tsukiji Outer Market,False,TOUGH,GOOD,TOUGH,LOW,Bustling food-stall market; flat but very narrow and crowded aisles make wheels and seniors slow-going. Great food.,general reports
