city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Paris,Eiffel Tower,True,GOOD,GOOD,TOUGH,HIGH,Lifts run to the 1st and 2nd floors and are wheelchair accessible (the summit is not); disabled visitors get discounted priority tickets. The esplanade beneath is flat but security queues are long.,Tour Eiffel accessibility; wheelchairtravel.org
Paris,Louvre Museum,True,GOOD,GOOD,GOOD,HIGH,"Extensively accessible with lifts throughout, free entry for disabled visitors plus companion, priority access and loaner wheelchairs. Enormous, so plan a route. The pyramid entrance has a lift.",Louvre access; wheeltheworld
Paris,Musée d'Orsay,True,GOOD,GOOD,GOOD,HIGH,"Fully accessible former station with lifts to all levels, free disabled entry and priority. Flat galleries. One of the smoothest Paris museums.",Musée d'Orsay access
Paris,Notre-Dame Cathedral (exterior/island),True,GOOD,GOOD,GOOD,MEDIUM,The Île de la Cité and the cathedral square are flat and step-free for viewing the exterior; the tower climb is a long spiral stair and not accessible. Post-fire access is being restored.,VisitParis; firsthand
Paris,Sacré-Cœur & Montmartre,True,FAIL,TOUGH,FAIL,HIGH,The basilica sits atop a steep hill reached by long staircases; a funicular helps but Montmartre's streets are steep and cobbled throughout. Very hard for wheelchairs and seniors. Alt: view from below or the accessible funicular then flat summit area.,wheelchairtravel.org; firsthand
Paris,Seine river quays walk,False,GOOD,EXCELLENT,GOOD,HIGH,The lower and upper quays along the Seine are largely flat and pedestrianised in stretches; some quays have steps down but the upper banks are step-free and pram-friendly.,VisitParis; firsthand
Paris,Luxembourg Gardens,False,GOOD,EXCELLENT,GOOD,HIGH,"Flat gravel-and-paved paths, chairs everywhere, a pond and playground; gravel is a little bumpy for wheels but broadly easy and great for families and seniors.",Sénat access; firsthand
Paris,Arc de Triomphe,True,TOUGH,TOUGH,FAIL,HIGH,Reached by an underground pedestrian passage (there is a lift on request); the rooftop is 284 steps with no public lift to the top. Base accessible via lift; summit not.,Arc de Triomphe access
Paris,Palace of Versailles,True,GOOD,GOOD,TOUGH,MEDIUM,"The State Apartments have an accessible route with lifts and free disabled entry, but the vast gravel gardens are tiring and bumpy; distances are huge. Palace good; gardens hard on wheels.",Château de Versailles access
Paris,Centre Pompidou,True,GOOD,GOOD,GOOD,MEDIUM,"Modern building with full lift access, free disabled entry and the famous escalator tube (plus lifts). Flat sloping piazza outside. Easy.",Centre Pompidou access
Paris,Champs-Élysées,False,GOOD,GOOD,GOOD,MEDIUM,"Wide, flat, smooth pavements the length of the avenue; easy strolling and shopping, though very crowded near the Arc. Fine for wheels and strollers.",firsthand
