city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Hanoi,Hoan Kiem Lake & Ngoc Son Temple,True,TOUGH,GOOD,TOUGH,HIGH,"The lakeside promenade is flat and largely step-free for a pleasant circuit, but the temple is reached across the iconic red arched bridge which is stepped. Lakeside easy; temple bridge stepped.",firsthand,21.0288313,105.8525357
Hanoi,Old Quarter (36 Streets),True,TOUGH,TOUGH,TOUGH,HIGH,"The historic trading maze is flat but the footpaths are narrow, broken and blocked by motorbikes and stalls, forcing you into the busy road; very difficult for wheels and strollers. Chaotic but characterful.",firsthand,21.0353243,105.8500395
Hanoi,Ho Chi Minh Mausoleum & complex,True,GOOD,GOOD,TOUGH,MEDIUM,The vast plaza and gardens of the complex are flat and largely step-free to move around; the mausoleum interior has steps and strict rules. Grounds accessible; interior stepped and regimented.,firsthand,21.0367831,105.8346888
Hanoi,Temple of Literature,True,TOUGH,GOOD,TOUGH,MEDIUM,Vietnam's first university is a series of flat courtyards but separated by raised thresholds and a few steps between them; partly accessible across the ground-level courtyards with some obstacles.,firsthand,21.0287903,105.8359533
Hanoi,Vietnam Museum of Ethnology,True,GOOD,EXCELLENT,GOOD,MEDIUM,"A modern museum with ramps, lifts and step-free galleries; the outdoor section has some uneven paths but the main building is accessible. One of the easier sights.",VME access,21.0400774,105.7988403
Hanoi,Thang Long Water Puppet Theatre,True,GOOD,GOOD,GOOD,MEDIUM,"The theatre has accessible seating and a largely step-free entrance for the famous water-puppet show; a seated, accessible cultural experience. Confirm seating when booking.",firsthand,21.0317043,105.8534550
Hanoi,Hoa Lo Prison Museum,True,TOUGH,GOOD,TOUGH,MEDIUM,"The historic prison museum is largely at ground level with some accessible sections, but has thresholds and a few steps between areas. Partly accessible.",firsthand,21.0254222,105.8465093
Hanoi,Tran Quoc Pagoda,True,TOUGH,GOOD,TOUGH,MEDIUM,Hanoi's oldest pagoda on a West Lake islet is reached by a flat causeway (accessible) but the pagoda terraces themselves have steps; view and grounds partly accessible.,firsthand,21.0478837,105.8368375
Hanoi,West Lake (Tay Ho) promenade,False,GOOD,EXCELLENT,GOOD,MEDIUM,"The lakeside road and promenade areas are flat and largely step-free, leafier and calmer than the Old Quarter; pleasant for wheeling and strolling.",firsthand,21.0580419,105.8139655
Hanoi,French Quarter & Opera House,False,GOOD,GOOD,GOOD,LOW,"Wide, flat boulevards with better (if still imperfect) footpaths and grand colonial architecture; the Opera House exterior is viewed from a flat plaza. Easier strolling than the Old Quarter.",firsthand,21.0242022,105.8578344
Hanoi,Dong Xuan Market,True,TOUGH,TOUGH,TOUGH,LOW,"The city's largest covered market is flat but densely packed with tight aisles, thresholds and crowds; hard to navigate with wheels or a stroller.",firsthand,21.0382556,105.8496710
