city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Reykjavik,Sun Voyager (Solfar),True,EXCELLENT,EXCELLENT,GOOD,HIGH,"The gleaming steel 'dream boat' sculpture on the waterfront; the Saebraut promenade is wide, paved, step-free and snow-cleared in winter, so fully wheelchair/stroller accessible, with benches and Faxafloi Bay + Mt Esja views. Free, open 24/7.",iceland-highlights official; guidetoiceland firsthand,64.1476070,-21.9222615
Reykjavik,Harpa Concert Hall,True,EXCELLENT,GOOD,GOOD,HIGH,"Iceland's stunning glass-faceted concert/conference hall on the harbour; wheelchair accessible throughout with lifts, accessible toilets and hearing loops, plus 30-min accessible tours in English. Free to wander the foyer.",re.is official; guidetoiceland; visitreykjavik,,
Reykjavik,Hallgrimskirkja,True,GOOD,GOOD,TOUGH,HIGH,"The soaring landmark church; the building itself is accessible (and the tower has a lift for the view), but Skolavordustigur, the pretty street leading up to it, is uphill - a push may be needed. Einar Jonsson sculpture garden nearby is accessible.",guidetoiceland firsthand; visitreykjavik,64.1417951,-21.9267103
Reykjavik,Blue Lagoon,True,GOOD,GOOD,GOOD,HIGH,"Iceland's famous geothermal spa (45 min from the city); genuinely accessible - accessible changing rooms and a ramp/lift into the milky water, known for being very accommodating. Book ahead. A must-do.",disabledholidays; guidetoiceland; curbfreewithcorylee firsthand,63.8791684,-22.4443196
Reykjavik,Golden Circle: Gullfoss,True,GOOD,GOOD,TOUGH,HIGH,The thundering double-tiered waterfall; a paved path from the car park leads to an accessible viewing deck over the falls (some paths are a bit steep). One of the most accessible natural wonders in Iceland.,guidetoiceland firsthand; disabledholidays,,
Reykjavik,Golden Circle: Geysir,True,GOOD,GOOD,GOOD,HIGH,The geothermal field where Strokkur erupts every few minutes; the main viewing area has paved accessible paths and there's a cosy restaurant. Reliable and easy - a Golden Circle highlight.,guidetoiceland firsthand; disabledholidays,,
Reykjavik,Golden Circle: Thingvellir,True,TOUGH,GOOD,TOUGH,MEDIUM,"UNESCO rift-valley national park (site of the first parliament, tectonic plates meeting); much of it uses wooden-decking/dense-gravel paths that are largely accessible, but the awkward parking layout and some terrain make parts tricky. Book an accessible-tour operator.",guidetoiceland firsthand; curbfreewithcorylee,,
Reykjavik,Laugavegur (main street),False,GOOD,GOOD,GOOD,HIGH,"Reykjavik's main shopping/dining street; thanks to the 'Ramping Up Iceland' campaign (1500+ new ramps), almost every business is now wheelchair accessible. Lively and easy to browse.",visitreykjavik official,64.1402563,-21.8936064
Reykjavik,Perlan,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Museum of Iceland's natural wonders (ice cave, planetarium) under a glass dome with a 360 observation deck; accessible via lifts, a great family + rainy-day option with city panoramas.",re.is; general,64.1292462,-21.9190279
Reykjavik,Whale watching (Old Harbour),False,TOUGH,GOOD,TOUGH,LOW,"Boat tours from the Old Harbour; the path there is narrow and winding and boarding vessels varies by operator - contact ahead for accessible boats. Weather-dependent and can be chilly, but a memorable wildlife trip.",guidetoiceland (harbour note),64.1520236,-21.9416689
