city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Istanbul,Hagia Sophia,True,TOUGH,GOOD,TOUGH,HIGH,"The ground floor has a ramped accessible entrance and is largely flat inside, but it's often very crowded and the upper gallery is via a stone ramp/stairs. Main floor manageable; carpeted prayer area.",wheelchairtravel.org; Turkey tourism
Istanbul,Blue Mosque (Sultan Ahmed),True,TOUGH,GOOD,TOUGH,MEDIUM,"A ramped accessible entrance exists and the prayer hall floor is flat, but visitor routing, shoe removal and crowds complicate a wheelchair visit; the courtyard has some uneven stone. Partly accessible.",firsthand; Turkey tourism
Istanbul,Topkapı Palace,True,TOUGH,TOUGH,FAIL,HIGH,"A sprawling palace with cobbled courtyards, thresholds, steps between pavilions and the Harem's stairs; some accessible routes and ramps exist but much is uneven and hilly. Hard for wheels and seniors.",Topkapı access; wheelchairtravel.org
Istanbul,Grand Bazaar,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Mostly flat covered lanes but extremely crowded, with worn uneven flooring and thresholds at entrances; navigable in parts but a real squeeze with wheels or a stroller.",firsthand
Istanbul,Spice Bazaar,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Flat single covered hall but very tight and crowded; entrances have small steps or thresholds. Manageable slowly off-peak, hard when busy.",firsthand
Istanbul,Bosphorus ferry cruise,False,GOOD,GOOD,GOOD,HIGH,"Public and tour ferries have step-free or ramped boarding at major piers and level deck seating; a scenic, relaxed and accessible way to see the city. Confirm the pier is ramped.",İDO/Şehir Hatları access; firsthand
Istanbul,Galata Tower,True,TOUGH,GOOD,TOUGH,MEDIUM,"A lift reaches the upper viewing levels, but the surrounding Galata streets are steep and cobbled and the very top balcony is tight. Tower has a lift; approach is hilly.",Galata Tower access
Istanbul,Basilica Cistern,True,TOUGH,TOUGH,FAIL,MEDIUM,The atmospheric underground cistern is reached by a staircase down; recent renovations added some access but it remains largely stair-based and damp. Hard for wheels.,firsthand
Istanbul,İstiklal Street,False,GOOD,GOOD,TOUGH,MEDIUM,"A long, broad, flat pedestrian avenue that is smooth and step-free end to end (a heritage tram runs down it); easy strolling though very crowded, with hilly side streets.",firsthand
Istanbul,Süleymaniye Mosque,True,TOUGH,GOOD,TOUGH,MEDIUM,A hilltop mosque with grand views; ramped access exists to the courtyard and prayer hall but the approach is steep and the terraces uneven. Partly accessible with effort.,firsthand
Istanbul,Dolmabahçe Palace,True,GOOD,GOOD,TOUGH,MEDIUM,"A 19th-century waterfront palace with flatter grounds and some accessible routes/ramps on the ground floor, though upper floors and the harem have stairs. Better than the hilltop sites.",Dolmabahçe access
