city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Kyoto,Fushimi Inari Taisha,True,TOUGH,GOOD,TOUGH,HIGH,"Famous thousand-torii shrine; the first section and lower shrines are paved and rollable (an elevator helps, open only 9am-3pm) with some steep ramps, but the full mountain torii climb is stairs and not accessible. See the iconic start.",curbfreewithcorylee firsthand; therealjapan; japan-accessible.com,34.9675192,135.7797101
Kyoto,Kinkaku-ji (Golden Pavilion),True,GOOD,GOOD,GOOD,HIGH,"The path to view the Golden Pavilion across the pond is packed gravel over solid ground - accessible (manual needs a little effort); free loaner chairs, disabled discount. The rest of the garden circuit has steps, so you turn back to exit.",rollwithasmile firsthand; accessible-japan; curbfreewithcorylee,35.0395293,135.7295373
Kyoto,Kiyomizu-dera,True,TOUGH,GOOD,TOUGH,HIGH,"Hillside temple with the famous wooden terrace; wheelchair accessible via a back entrance with ramps and free disabled entry, BUT the approach up Kiyomizu-zaka is a steep sloping street, hard for manual chairs. Ask staff for the accessible route.",rollwithasmile firsthand; therealjapan; japan-accessible.com,34.9943030,135.7844389
Kyoto,Arashiyama Bamboo Grove,True,GOOD,GOOD,GOOD,HIGH,"The main bamboo path is smooth, paved and quite accessible with only gentle slopes - a rare easy roll through an iconic scene. Narrow and very crowded in spots. Surrounding shops are hit-or-miss for access.",curbfreewithcorylee firsthand; rollwithasmile,35.0167419,135.6711482
Kyoto,Nijo Castle,True,GOOD,GOOD,GOOD,MEDIUM,"Flat, straight accessible corridors make this UNESCO castle a good tourist spot for wheelchair users; some areas have steps but the main route works. Famous 'nightingale' floors.",japan-accessible.com,35.0140076,135.7485369
Kyoto,Gion,True,TOUGH,GOOD,TOUGH,MEDIUM,"Historic geisha district of wooden teahouses; some streets are pedestrian zones and rollable, but many old shops/restaurants have steps and stairs. Gion Corner theatre is wheelchair accessible. Atmospheric.",japan-accessible.com; hanastraveljournal,35.0046897,135.7784030
Kyoto,Higashiyama (Ninenzaka/Sannenzaka),True,TOUGH,GOOD,FAIL,MEDIUM,"Iconic sloping preserved lanes toward Kiyomizu; Ninenzaka is partly accessible (you can get the Hokanji pagoda photo) but Sannenzaka is stairs and not accessible, and most little shops are tight with steps.",therealjapan firsthand,34.9970931,135.7764641
Kyoto,Kyoto Tower,False,GOOD,GOOD,GOOD,MEDIUM,"Iconic tower opposite Kyoto Station; reach the observation deck via elevators plus a sturdy stair-climber lift (staff-operated), then floor-to-ceiling city views. Convenient and accessible.",curbfreewithcorylee firsthand,34.9875524,135.7593295
Kyoto,Ryoan-ji,True,FAIL,TOUGH,FAIL,MEDIUM,"Famous Zen rock garden, but there are many stairs at the Sanmon main gate and wheelchairs cannot enter the temple/garden area - so the rock garden itself is not viewable if you can't walk. Grounds/pond partly rollable.",japan-accessible.com,35.0334630,135.7180884
Kyoto,Kyoto Aquarium,False,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"Modern aquarium near Kyoto Station; fully wheelchair accessible with wheelchair spaces for the dolphin show. A reliable, easy family option - great on a rainy day.",japan-accessible.com,34.9875543,135.7478778
