city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Berlin,Brandenburg Gate,True,EXCELLENT,EXCELLENT,EXCELLENT,HIGH,Stands on a large flat pedestrian square (Pariser Platz) with smooth paving; fully step-free to approach and photograph. Easy for everyone.,VisitBerlin; firsthand,52.5162699,13.3777034,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Brandenburger_Tor_abends.jpg/330px-Brandenburger_Tor_abends.jpg
Berlin,Reichstag dome,True,GOOD,GOOD,GOOD,HIGH,Free to visit with a lift to the roof terrace and an accessible ramp spiralling up inside the glass dome; pre-registration required. Fully wheelchair accessible.,Bundestag access; wheelchairtravel.org,52.5185931,13.3761064,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Reichstag_Dome_2019.jpg/330px-Reichstag_Dome_2019.jpg
Berlin,Museum Island (Pergamon/Neues),True,GOOD,GOOD,GOOD,HIGH,The museums have lifts and accessible entrances with free disabled entry; some are under renovation. The island's approaches have a few cobbles but routes are step-free.,SMB access,52.5200335,13.3978155,
Berlin,East Side Gallery,True,GOOD,GOOD,GOOD,HIGH,"A flat, open-air 1.3km stretch of the Wall along a paved riverside path; entirely step-free and easy to wheel or push along.",VisitBerlin; firsthand,52.5044542,13.4408392,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Segment_with_Graffiti_of_the_Berlin_Wall_%283_of_4%29_%28cropped%29.jpg/330px-Segment_with_Graffiti_of_the_Berlin_Wall_%283_of_4%29_%28cropped%29.jpg
Berlin,Memorial to the Murdered Jews of Europe,True,GOOD,TOUGH,GOOD,HIGH,The field of stelae has an undulating stone-paved ground that is step-free but gently uneven; the underground information centre is fully accessible by lift. Free.,Stiftung Denkmal access,52.5138731,13.3787346,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Memorial_to_the_Murdered_Jews_of_Europeabove.jpg/330px-Memorial_to_the_Murdered_Jews_of_Europeabove.jpg
Berlin,Tiergarten,False,EXCELLENT,EXCELLENT,EXCELLENT,HIGH,"Enormous flat central park with paved and firm paths, benches and cafes; excellent for strollers, wheelchairs and a slow senior stroll.",firsthand,52.5097776,13.3572597,
Berlin,Berlin TV Tower (Fernsehturm),True,GOOD,GOOD,GOOD,MEDIUM,"A lift carries visitors to the observation deck; the deck and bar are accessible, though space is limited at peak times. Book ahead.",TV Tower access,52.5208279,13.4094214,
Berlin,Charlottenburg Palace,True,TOUGH,GOOD,TOUGH,MEDIUM,Ground-floor State Rooms have an accessible route but upper floors and some historic rooms have stairs; the gardens are flat and easy. Partly accessible.,SPSG access,52.5206424,13.2927104,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Charlottenburg_Hohenzollern_2.jpg/330px-Charlottenburg_Hohenzollern_2.jpg
Berlin,Checkpoint Charlie,True,GOOD,GOOD,GOOD,MEDIUM,"An open, flat street-level site; easy to reach and view, though touristy and crowded. The associated museum has some stairs.",firsthand,52.5074321,13.3903814,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Berlin_-_Checkpoint_Charlie_1963.jpg/330px-Berlin_-_Checkpoint_Charlie_1963.jpg
Berlin,Gendarmenmarkt,False,GOOD,GOOD,GOOD,MEDIUM,"A grand flat square with smooth paving between the two cathedrals and concert hall; step-free to cross and enjoy, some steps up to the buildings.",firsthand,52.5135698,13.3922970,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Gendarmenmarkt_Panorama.jpg/330px-Gendarmenmarkt_Panorama.jpg
Berlin,Berlin Zoo,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Largely flat paved paths throughout with accessible toilets and rentable wheelchairs; a classic easy family day, a few gentle slopes.",Zoo Berlin access,52.5084494,13.3392306,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Berlin_Elefantentor_09-2017.jpg/330px-Berlin_Elefantentor_09-2017.jpg
