city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Boston,Boston Common & Public Garden,True,GOOD,EXCELLENT,GOOD,HIGH,"Largely flat, paved central parks with step-free paths, benches and the swan boats; some gentle slopes and a few brick sections but broadly easy for strollers and wheels.",City of Boston access; firsthand
Boston,Freedom Trail,True,TOUGH,TOUGH,TOUGH,HIGH,"A 2.5-mile route past historic sites; much of it follows uneven brick and cobbled sidewalks with hills through Beacon Hill and the North End, and some sites have steps. Doable in flat segments; tiring overall.",firsthand
Boston,Museum of Fine Arts (MFA),True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Fully accessible with lifts, step-free entrances, loaner wheelchairs and accessible toilets. Flat galleries throughout.",MFA access
Boston,Fenway Park,True,TOUGH,GOOD,TOUGH,MEDIUM,"The century-old ballpark has accessible seating and entrances but tight concourses, ramps and some stairs to older sections; accessible seats need advance booking.",Red Sox access
Boston,Beacon Hill,True,FAIL,TOUGH,FAIL,MEDIUM,"Postcard-perfect but built on a steep hill paved in uneven cobblestones and brick with the famous Acorn Street impassable for wheels; very hard for wheelchairs, strollers and seniors. Admire the flatter Charles Street below.",firsthand
Boston,Harvard Square & campus,True,GOOD,GOOD,GOOD,MEDIUM,"Cambridge's square and much of Harvard Yard are flat with paved paths and ramped building access, though some historic buildings have steps; broadly manageable.",Harvard access; firsthand
Boston,Isabella Stewart Gardner Museum,True,GOOD,GOOD,GOOD,MEDIUM,The modern wing and courtyard are fully accessible with lifts; the historic palace galleries are largely accessible with a few tight spots. Step-free entry.,Gardner access
Boston,Boston Harborwalk / Seaport,False,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"The modern waterfront and Harborwalk are flat, paved and fully step-free with ramps; easy and scenic for wheeling and strolling.",firsthand
Boston,Quincy Market / Faneuil Hall,True,GOOD,GOOD,GOOD,MEDIUM,"The marketplace is largely at ground level with accessible entrances and a flat central promenade, though the cobbled surrounds and crowds add friction. Manageable.",firsthand
Boston,North End (Italian quarter),False,TOUGH,TOUGH,TOUGH,MEDIUM,"The beloved food quarter has narrow, hilly, cobbled streets and many restaurants with a step at the door; the food is worth it but access is a squeeze. Some flatter main streets.",firsthand
Boston,New England Aquarium,True,GOOD,EXCELLENT,GOOD,LOW,"Accessible with lifts and a spiral ramp around the central tank, step-free entry and accessible toilets; good for families though the ramp is long.",NE Aquarium access
