city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Bangalore,Vidhana Soudha,True,FAIL,TOUGH,TOUGH,HIGH,Wikipedia notes 45-step flight of stairs (61m wide) leading to porch; no accessible entrance documented.,onboarding agent (OSM-verified),12.9772093,77.5900021,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Vidhana_Soudha_2012.jpg/330px-Vidhana_Soudha_2012.jpg
Bangalore,Bangalore Palace,True,TOUGH,TOUGH,TOUGH,LOW,"Historic palace with multiple levels, stairs, and uneven terrain; limited wheelchair accessibility.",llm knowledge,12.9985954,77.5920086,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Bangalore_Mysore_Maharaja_Palace.jpg/330px-Bangalore_Mysore_Maharaja_Palace.jpg
Bangalore,Lalbagh Botanical Garden,True,GOOD,GOOD,GOOD,LOW,"Large garden with paved pathways and relatively flat terrain, though some areas may be hilly.",llm knowledge,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Glasshouse_and_fountain_at_lalbagh.jpg/330px-Glasshouse_and_fountain_at_lalbagh.jpg
Bangalore,Cubbon Park,True,GOOD,GOOD,GOOD,HIGH,Wikipedia confirms all park locations accessible via walking paths; Cubbon Park Metro Station 15m from entrance; 6 benches and 4 toilets mapped within 500m.,onboarding agent (OSM-verified),12.9742535,77.5921906,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Cubbon_Park_W.jpg/330px-Cubbon_Park_W.jpg
Bangalore,ISKCON Temple,True,GOOD,GOOD,GOOD,LOW,"Modern temple with ramps, elevators, and step-free access to main prayer halls.",llm knowledge,13.0118968,77.551535,
Bangalore,Tipu Sultan's Summer Palace,True,TOUGH,TOUGH,TOUGH,LOW,"Historic palace with narrow corridors, stairs, and uneven floors; minimal wheelchair accessibility.",llm knowledge,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tippu_Sultan%27s_Summer_palace.jpg/330px-Tippu_Sultan%27s_Summer_palace.jpg
Bangalore,Bangalore Fort,True,TOUGH,TOUGH,TOUGH,LOW,"Ancient fort with uneven terrain, stairs, and limited modern accessibility infrastructure.",llm knowledge,12.9629408,77.5757599,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Old_Bangalore_Fort%2C_Inside_View.JPG/330px-Old_Bangalore_Fort%2C_Inside_View.JPG
Bangalore,St. Mary's Basilica,True,GOOD,GOOD,GOOD,LOW,Historic church with ramp access and step-free entry to main areas.,llm knowledge,12.9844027,77.6042729,
Bangalore,Nandi Hills,True,FAIL,FAIL,FAIL,LOW,Hill station requiring steep climbs and trekking; not wheelchair or senior-friendly.,llm knowledge,,,
Bangalore,Visvesvaraya Industrial & Technological Museum,True,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,"Located in Cubbon Park (accessible walking paths); 6 benches and 4 toilets within 500m. Wikipedia confirms 4,000 m² building but no step-free entrance or lift details documented.",onboarding agent (OSM-verified),12.9752028,77.5964268,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Visvesvaraya_Industrial_and_Technological_Museum%2C_Bangalore_%282025%29_02.jpg/330px-Visvesvaraya_Industrial_and_Technological_Museum%2C_Bangalore_%282025%29_02.jpg
