city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Barcelona,Sagrada Familia,True,GOOD,GOOD,GOOD,HIGH,"100% step-free on the ground floor/nave & museum; free entry for disabled visitors + companion via the Carrer de la Marina priority entrance; metro stop accessible. Towers are NOT accessible (lift up, stairs down; wheelchairs/strollers barred).",sagradafamiliatickets.info; ataxia.scot; wheeltheworld,41.4035046,2.1744283,
Barcelona,Park Guell,True,TOUGH,TOUGH,TOUGH,HIGH,"Gaudi hilltop park; steep, partly unpaved, with stairs and escalators. Free disabled entry. Enter from Carretera del Carmel (bus 24/H6) to cut the climb; still challenging with wheels/strollers, go with a companion.",barcelonahacks; tripadvisor forum; wheeltheworld,41.4142348,2.1524576,
Barcelona,La Rambla,True,EXCELLENT,GOOD,GOOD,HIGH,"Wide, flat, exceptionally wheelchair-friendly walkway from Plaça Catalunya to the port; smooth navigation, accessible shops/restaurants along it.",exploringtheworldonwheels; wheeltheworld,41.3833957,2.1714535,
Barcelona,Gothic Quarter (Barri Gotic),True,TOUGH,GOOD,TOUGH,MEDIUM,Historic medieval quarter; charming but narrow alleys and some uneven surfaces. Navigable but travel light; Barcelona Cathedral and hidden squares within.,exploringtheworldonwheels; wheeltheworld,41.3838400,2.1745119,
Barcelona,La Boqueria Market,False,TOUGH,GOOD,TOUGH,MEDIUM,"Vibrant covered food market off La Rambla; flat entry but very crowded, tight aisles slow wheels and seniors. Sensory feast.",exploringtheworldonwheels,,,
Barcelona,Barceloneta Beach,False,GOOD,EXCELLENT,GOOD,HIGH,"One of the most accessible beaches in the world: beach wheelchairs, accessible paths, showers/toilets, and volunteer assistance in season. Great for families.",disabledaccessibletravel; wheeltheworld,41.3793285,2.1929710,
Barcelona,Montjuic (via cable car),True,TOUGH,GOOD,TOUGH,MEDIUM,"Montjuic hill has accessible sights (Magic Fountain, museums) reachable by adapted taxi/bus, but the Montjuic cable car / St Sebastia gondola is NOT wide enough for wheelchairs.",wheeltheworld firsthand,41.3647625,2.1542330,
Barcelona,Casa Batllo,True,GOOD,GOOD,GOOD,LOW,"Gaudi modernist house-museum; generally has lift access to floors and adapted route (confirm current). Popular, book ahead.",general accessibility reports,41.3915446,2.1646961,
Barcelona,Barcelona Cathedral,True,TOUGH,GOOD,TOUGH,LOW,Gothic cathedral in the old quarter; main floor largely reachable but surrounded by cobbles and some steps; cloister access varies.,exploringtheworldonwheels (mention),41.3839296,2.1765539,
Barcelona,Ciutadella Park & Barcelona Zoo,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Large flat central park with a boating lake, playgrounds, the mammoth statue and Barcelona Zoo; easy for strollers and wheels, lots for kids.",shelleyloves (family guide),41.3884160,2.1862546,
