city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Bangkok,Grand Palace & Wat Phra Kaew,True,GOOD,GOOD,TOUGH,HIGH,"Main courtyards are paved and largely step-free; free loaner manual wheelchairs at the cloakroom near the entrance, low threshold at Wat Phra Kaew. No handrails on some steps and open courtyards have brutal sun/heat - hard for seniors. Dress code enforced.",wheelietravel; apieceoftravel firsthand; tripadvisor
Bangkok,Wat Pho,True,GOOD,GOOD,TOUGH,MEDIUM,"Temple of the Reclining Buddha, a short level walk from the Grand Palace; ramps throughout much of the property make it fairly accessible (though a few reports note tricky spots). Heat is the main challenge.",apieceoftravel firsthand; tripadvisor (mixed)
Bangkok,Wat Arun,True,TOUGH,GOOD,TOUGH,HIGH,"Temple of Dawn across the river; the ground-level terraces and riverside plaza are paved and step-free, but the central prang has very steep external staircases and is NOT navigable in a wheelchair. Reached by a cross-river ferry (pier access varies).",wheelietravel; apieceoftravel firsthand
Bangkok,Chao Phraya River Boat,True,GOOD,GOOD,GOOD,MEDIUM,Chao Phraya Express runs accessible boats with a wide boarding ramp and ground/onboard assistants; a scenic accessible way to see riverside sights. Pier ramps vary in quality - easiest to stay aboard as a sightseeing loop.,apieceoftravel firsthand
Bangkok,Chatuchak Weekend Market,True,TOUGH,GOOD,TOUGH,MEDIUM,"The world's largest weekend market (15,000+ stalls); because it lines streets some sections are rollable, but many areas lack curb cuts, keep internal roads open, and get extremely congested (150k+ visitors). Patience and picking accessible sections is key.",apieceoftravel firsthand; wheelchairtravel.org
Bangkok,Chinatown (Yaowarat) & Talat Noi,True,TOUGH,GOOD,TOUGH,MEDIUM,"Vibrant food/street-art district; Talat Noi's streets are smooth and largely pedestrian and roll well, but the main Chinatown sidewalks are packed with vendors/people and many shops have a step. Great atmosphere, slow going.",curbfreewithcorylee firsthand
Bangkok,Lumphini Park,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Central green park with wide flat paved paths; a relaxed, accessible escape from the city heat and traffic. Good for families and a rest.",wheelchairtravel.org
Bangkok,Khao San Road,False,GOOD,GOOD,TOUGH,MEDIUM,"Legendary backpacker street; the level street itself is rollable and lively with street food and markets, though crowded and chaotic. Some venues have steps.",curbfreewithcorylee firsthand
Bangkok,Jim Thompson House,False,TOUGH,GOOD,TOUGH,LOW,Traditional teak-house museum of Thai silk; historic wooden architecture means steps and raised floors limit full access - grounds/ground level partly manageable. Confirm on arrival.,general accessibility reports
Bangkok,ICONSIAM / River City (riverside malls),False,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"Modern air-conditioned riverside malls; fully accessible with lifts, smooth floors, accessible restrooms and river views. A cool, easy, family-friendly break from the heat.",curbfreewithcorylee firsthand
