city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
London,British Museum,True,GOOD,GOOD,GOOD,HIGH,"Step-free entry via the Montague Place north entrance, lifts to all floors, free entry, wheelchairs to borrow. Vast but level throughout.",British Museum accessibility; VisitLondon
London,Tower of London,True,TOUGH,TOUGH,TOUGH,HIGH,"Historic fortress with cobbles, spiral stairs and the White Tower not step-free; a partial accessible route exists but the Crown Jewels and walls involve stairs. Uneven and tiring.",Historic Royal Palaces access guide
London,London Eye,True,GOOD,GOOD,GOOD,HIGH,Fully wheelchair accessible with level boarding onto the capsules (max two wheelchairs per capsule); staff assist. Book a timed slot.,London Eye accessibility; wheelchairtravel.org
London,Tate Modern,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Step-free throughout with lifts to every level, free entry, accessible toilets and viewing level. One of the easiest big attractions.",Tate access; euansguide
London,National Gallery,True,GOOD,GOOD,GOOD,HIGH,"Level step-free entrance on Trafalgar Square side, lifts between floors, free entry and loaner wheelchairs. Trafalgar Square itself has some steps but ramped routes.",National Gallery access
London,Buckingham Palace / Changing of the Guard,True,TOUGH,GOOD,TOUGH,MEDIUM,The forecourt viewing is on level pavement but extremely crowded for the guard change; getting a clear view with a wheelchair or in a stroller is hard. The palace State Rooms (summer) have an accessible route.,Royal Collection Trust access
London,Hyde Park,False,EXCELLENT,EXCELLENT,EXCELLENT,HIGH,"Large, flat royal park with paved paths, accessible toilets, the Serpentine and cafes. Ideal for strollers, wheelchairs and seniors.",Royal Parks access
London,South Bank riverside walk,False,EXCELLENT,EXCELLENT,GOOD,HIGH,"Wide, flat, step-free promenade along the Thames linking the Eye, Tate and Borough; smooth and pram-friendly with plenty of stops.",VisitLondon; firsthand
London,Borough Market,True,TOUGH,TOUGH,TOUGH,MEDIUM,Ground-level and mostly step-free but very crowded and tight between stalls; navigating with wheels or a stroller at peak times is a squeeze. Quieter mid-morning.,Borough Market; euansguide
London,Westminster Abbey,True,TOUGH,GOOD,TOUGH,MEDIUM,"Level entry and an accessible route through most of the abbey, but some chapels and the Cosmati pavement have steps and the space is dense and busy. Partly accessible.",Westminster Abbey access
London,St. Paul's Cathedral,True,TOUGH,GOOD,TOUGH,MEDIUM,"Step-free access to the cathedral floor and crypt via lift, but the dome galleries are a long stair climb with no step-free option. Main floor fine; dome not accessible.",St Paul's access guide
