city,place,is_famous,wheelchair,toddler,senior,confidence,note,source
Porto,Ribeira (riverfront),True,TOUGH,GOOD,TOUGH,HIGH,"The UNESCO medieval heart on the Douro; the Cais da Ribeira riverside promenade itself is flat and well-paved and accessible, BUT the tangle of lanes tumbling down to it is steep worn cobblestone. Stick to the waterfront level. Stunning and lively.",accesstravel firsthand; onmetravel; anchorsup
Porto,Dom Luis I Bridge,True,GOOD,GOOD,GOOD,HIGH,The iconic double-deck iron bridge (an Eiffel associate's design); it's genuinely wheelchair-friendly - a gentle incline lets you roll across the upper deck at rooftop level from the ground-level Jardim do Morro metro. Best views in Porto.,accesstravel firsthand; visitportugal
Porto,Livraria Lello,True,FAIL,TOUGH,FAIL,HIGH,The famous Belle Epoque bookshop (a Harry Potter inspiration); breathtaking but built around a narrow ornate wooden staircase with steps at entry - not wheelchair accessible. Admire from photos/the ground floor if you can get in; the crowds and steps are the barrier.,onmetravel; motion4rent; visitportugal
Porto,Sao Bento Station,True,GOOD,GOOD,GOOD,HIGH,"One of the world's most beautiful stations; the vast entrance hall lined with ~20,000 blue-and-white azulejo tiles is at ground level and accessible - a free, must-see, easy stop. Metro-connected.",visitportugal; onmetravel
Porto,Clerigos Tower,True,FAIL,TOUGH,FAIL,HIGH,"Porto's landmark baroque bell tower; climbing it is 225-240 narrow stone steps - NOT wheelchair accessible - but the adjoining Clerigos Church is accessible at ground level and a virtual tour lets you 'see' the panorama. Church yes, tower no.",accesstravel; onmetravel; visitportugal
Porto,Port Wine Cellars (Vila Nova de Gaia),True,GOOD,GOOD,GOOD,MEDIUM,The historic lodges aging tawny/ruby port across the river in Gaia; many cellars offer wheelchair-friendly tours and tastings and the riverside is flat - but reach it via the Gaia cable car or lower-deck bridge to avoid Gaia's very hilly streets. A Porto essential.,accesstravel firsthand; visitportugal
Porto,Palacio da Bolsa (Stock Exchange),True,TOUGH,GOOD,TOUGH,MEDIUM,"Ornate 19th-century Stock Exchange Palace (the Arab Room is dazzling); visits are by guided tour only and the historic building has some steps/level changes - partial accessibility, arrange ahead. Admire the exterior regardless.",visitportugal; general
Porto,Crystal Palace Gardens (Jardins do Palacio de Cristal),False,GOOD,EXCELLENT,GOOD,MEDIUM,"Hilltop romantic gardens with peacocks and sweeping Douro views; the main paths are largely paved and accessible (some slopes) - a relaxed, scenic escape with the city's best river panoramas. Family-friendly.",visitportugal; onmetravel
Porto,Igreja de Sao Francisco,True,FAIL,TOUGH,FAIL,MEDIUM,Gothic church with an astonishing gilded-wood baroque interior; sadly steps at the entrance AND inside make it very difficult for wheelchair users (special guided access can sometimes be arranged in advance). Beautiful but a hard access barrier.,visitportugal
Porto,Douro River Cruise (Six Bridges),False,GOOD,GOOD,GOOD,MEDIUM,The classic 'six bridges' rabelo-boat cruise on the Douro; a relaxed scenic way to see Porto and Gaia from the water - many operators can accommodate wheelchairs with assistance (confirm the specific boat/pier ahead). Easy and lovely.,disabledaccessibletravel; general
