city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Noida,"Lotus Temple (Delhi, nearby)",True,EXCELLENT,EXCELLENT,EXCELLENT,LOW,"Fully accessible with ramps, elevators, and accessible restrooms throughout the complex.",llm knowledge,28.5533586,77.2586006
Noida,"Akshardham Temple (Delhi, nearby)",True,GOOD,GOOD,GOOD,LOW,"Mostly accessible with ramps and elevators, though some interior temple areas have steps.",llm knowledge,28.6125167,77.2773184
Noida,DND Flyway & Yamuna Expressway,True,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Major transport corridors; accessibility varies by specific rest stops and facilities.,llm knowledge,28.5724341,77.3073040
Noida,Noida City Centre Mall,True,EXCELLENT,EXCELLENT,EXCELLENT,LOW,"Modern shopping mall with full wheelchair access, elevators, accessible parking, and facilities.",llm knowledge,28.5742417,77.3534047
Noida,Surajkund Lake (nearby Faridabad),True,TOUGH,TOUGH,TOUGH,LOW,Natural lake with uneven terrain and limited paved pathways; challenging for mobility devices.,llm knowledge,28.4817861,77.2866710
Noida,"Okhla Bird Sanctuary (Delhi, nearby)",True,TOUGH,TOUGH,TOUGH,LOW,"Natural wetland reserve with narrow, unpaved walking trails unsuitable for wheelchairs.",llm knowledge,28.5569866,77.3090031
Noida,Noida Stadium,True,GOOD,GOOD,GOOD,LOW,Sports venue with designated accessible seating and ramp access to main areas.,llm knowledge,28.5908188,77.3372930
Noida,Worlds of Wonder (Amusement Park),True,GOOD,GOOD,TOUGH,LOW,"Theme park with accessible pathways and some rides, though terrain is uneven in places.",llm knowledge,28.5649333,77.3259652
Noida,Noida Golf Course,True,TOUGH,TOUGH,TOUGH,LOW,Open grounds with natural terrain; limited paved access and challenging for mobility devices.,llm knowledge,28.5673755,77.3463247
Noida,Sector 62 Market & Commercial Hub,True,GOOD,GOOD,GOOD,LOW,"Modern commercial area with paved walkways, ramps, and accessible shops and restaurants.",llm knowledge,28.5744677,77.3498802
