city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng,image_url
Ljubljana,Ljubljana Castle,True,TOUGH,TOUGH,TOUGH,MEDIUM,"Wiki notes mention a funicular railway (built 2006) to the top of Castle Hill, but OSM has no explicit wheelchair tags for the castle itself. Castle is on a hill requiring either funicular or stairs; no step-free route confirmed.",onboarding agent (OSM-verified),46.0487819,14.5085383,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Ljubljanski_grad_in_Grajski_gri%C4%8D.jpg/330px-Ljubljanski_grad_in_Grajski_gri%C4%8D.jpg
Ljubljana,Central Market (Osrednja tržnica),True,GOOD,GOOD,GOOD,LOW,"Open-air market with level ground and wide pathways, though some vendor stalls may be crowded.",llm knowledge,,,
Ljubljana,Ljubljana Cathedral,True,GOOD,GOOD,GOOD,LOW,Step-free entry with ramp access; interior is accessible with level flooring.,llm knowledge,46.0507631,14.5082522,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/StNicholas-Ljubljana.JPG/330px-StNicholas-Ljubljana.JPG
Ljubljana,Triple Bridge (Tromostovje),True,GOOD,GOOD,GOOD,MEDIUM,"OSM shows a cafe named ""Tromostovje"" with access=yes tag at the bridge location. Bridge is a pedestrian crossing over river; wiki notes describe it as a major public space with food/drink kiosks, suggesting accessible public infrastructure.",onboarding agent (OSM-verified),46.0511325,14.5062101,
Ljubljana,Metelkova Mesto,True,GOOD,GOOD,GOOD,LOW,"Street-level cultural venue with mostly flat terrain, though some buildings may have uneven surfaces.",llm knowledge,,,
Ljubljana,National Museum of Slovenia,True,GOOD,GOOD,GOOD,LOW,Lift access available; modern facilities with accessible restrooms and level exhibition spaces.,llm knowledge,46.0520716,14.4995355,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/NarodniMuzej-ljubljana.JPG/330px-NarodniMuzej-ljubljana.JPG
Ljubljana,Ljubljana Zoo,True,GOOD,GOOD,TOUGH,LOW,Hilly terrain with some paved paths; wheelchair accessible main routes but steep sections exist.,llm knowledge,46.0552982,14.4721944,https://upload.wikimedia.org/wikipedia/en/5/51/Ljubljana_Zoo_logo.gif
Ljubljana,Tivoli Park,True,GOOD,GOOD,GOOD,LOW,Large park with paved main paths and gentle slopes; accessible for most mobility levels.,llm knowledge,46.0551457,14.4957283,
Ljubljana,Prešeren Square (Prešernov trg),True,EXCELLENT,EXCELLENT,EXCELLENT,LOW,"Flat, open plaza with level ground and wide pedestrian areas; fully accessible.",llm knowledge,,,
Ljubljana,Ljubljana Museum of Modern Art,True,EXCELLENT,GOOD,EXCELLENT,LOW,"Modern building with full lift access, accessible restrooms, and level exhibition galleries.",llm knowledge,,,
