city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Rio de Janeiro,Christ the Redeemer (Corcovado),True,GOOD,GOOD,TOUGH,HIGH,"Reached by an accessible cog train up the mountain, then lifts and escalators bring visitors to the terrace near the statue; the final platform has some steps but panoramic viewing is largely accessible. Confirm the lift/escalator route.",Corcovado access; wheelchairtravel.org,-22.9519173,-43.2104585
Rio de Janeiro,Sugarloaf Mountain cable car,True,GOOD,GOOD,GOOD,HIGH,The two-stage cable cars have step-free/accessible boarding and the station platforms and viewpoints are largely accessible; a spectacular and manageable ascent. Confirm accessible cars.,Bondinho access,,
Rio de Janeiro,Copacabana Beach promenade,True,GOOD,EXCELLENT,GOOD,HIGH,"The famous wave-patterned promenade is flat, wide, paved and fully step-free the length of the beach; beach wheelchairs and mats available at points. Sand aside, easy and iconic.",Rio access; firsthand,,
Rio de Janeiro,Ipanema Beach & Arpoador,True,GOOD,EXCELLENT,GOOD,MEDIUM,The Ipanema promenade is flat and step-free with sunset views from the Arpoador rock area (the very rock is uneven but the viewpoint approach is largely level). Promenade easy; rock uneven.,firsthand,-22.9873109,-43.2021257
Rio de Janeiro,Selarón Steps (Escadaria Selarón),True,FAIL,TOUGH,FAIL,MEDIUM,"The famous mosaic staircase is, by nature, a long flight of steps with no accessible route; you can view the base from the flat street but not ascend. Base viewable; steps not accessible.",firsthand,-22.9154446,-43.179455
Rio de Janeiro,Santa Teresa,True,FAIL,TOUGH,FAIL,MEDIUM,The bohemian hilltop neighborhood is steep and cobbled with the historic tram and stepped lanes; charming but very hard for wheels and strollers. Some flat spots at the top reachable by car.,firsthand,-22.9215542,-43.1860269
Rio de Janeiro,Jardim Botânico (Botanical Garden),False,GOOD,EXCELLENT,GOOD,MEDIUM,"A large botanical garden with many flat, wide paved paths, accessible facilities and loaner wheelchairs; some gravel and gentle slopes but broadly easy and lovely.",Jardim Botânico access,-22.9636362,-43.2233457
Rio de Janeiro,Museu do Amanhã (Museum of Tomorrow),True,EXCELLENT,EXCELLENT,GOOD,MEDIUM,"A striking modern museum on the revitalized port with full lift access, step-free galleries and accessible ramps; the surrounding waterfront plaza is flat. Easy.",Museu do Amanhã access,-22.8940683,-43.1794045
Rio de Janeiro,Lapa Arches (Arcos da Lapa),True,GOOD,GOOD,GOOD,MEDIUM,"The landmark aqueduct arches are viewed from the flat, step-free plaza in Lapa; easy to reach and photograph, lively and central, busy at night.",firsthand,-22.9130341,-43.1799558
Rio de Janeiro,Maracanã Stadium,True,GOOD,GOOD,GOOD,LOW,"The iconic stadium has accessible seating, ramps and lifts for events and tours; modern facilities make it broadly accessible with advance booking of accessible spots.",Maracanã access,-22.9121619,-43.2311861
Rio de Janeiro,Parque Lage,False,TOUGH,GOOD,TOUGH,LOW,A scenic park mansion at the foot of Corcovado; the courtyard and cafe are largely flat and accessible but the forest trails behind are steep and unpaved. Mansion area accessible; trails not.,firsthand,-22.9594149,-43.2118890
