city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Taipei,Taipei 101,True,EXCELLENT,EXCELLENT,GOOD,HIGH,High-speed lifts to the accessible observatory; the mall base and entrances are fully step-free with accessible toilets. Easy and modern.,Taipei 101 access,25.0338352,121.5644995
Taipei,National Palace Museum,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Vast collection in a fully accessible building with lifts, step-free galleries, loaner wheelchairs and shuttle access; flat once inside. A little outside the center.",NPM access,25.1015744,121.5488623
Taipei,Chiang Kai-shek Memorial Hall,True,GOOD,GOOD,GOOD,HIGH,"The grand plaza is flat and step-free to cross, and lifts reach the main hall (the famous frontal staircase has an accessible alternative); the surrounding gardens are largely flat.",firsthand,25.0345759,121.5217812
Taipei,Shilin Night Market,True,TOUGH,TOUGH,TOUGH,MEDIUM,"A huge, flat but intensely crowded night market with tight lanes and a partly basement food court reached by stairs/lift; navigable slowly but a real squeeze at peak. Go early.",firsthand,25.0883890,121.5242986
Taipei,Longshan Temple,True,TOUGH,GOOD,TOUGH,MEDIUM,"A beautiful historic temple with a threshold step at entrances and dense incense-filled courtyards; partly accessible with a small step, very crowded at prayer times.",firsthand,25.0352844,121.4995813
Taipei,Da'an Forest Park,False,EXCELLENT,EXCELLENT,EXCELLENT,MEDIUM,"A large flat central park with wide paved step-free paths, accessible toilets and shade; excellent for strollers, wheelchairs and a relaxed senior stroll.",firsthand,25.0296931,121.5358242
Taipei,Beitou Hot Springs,True,TOUGH,GOOD,TOUGH,MEDIUM,"The thermal valley area has some accessible public facilities and a flat main path, but many private baths and the terraced hillside involve steps; the accessible library and park are easy. Mixed.",firsthand,25.1372198,121.5053568
Taipei,Maokong Gondola,True,GOOD,GOOD,TOUGH,MEDIUM,"The gondola cabins have step-free/accessible boarding at the modern stations, offering tea-hill views; some hilltop tea houses beyond are steep. The ride itself is accessible.",Maokong Gondola access,24.9873695,121.5919276
Taipei,Ximending,False,GOOD,GOOD,GOOD,MEDIUM,A flat pedestrianized shopping-and-street-food district with step-free streets; crowded but easy to wheel and stroll through.,firsthand,25.0438889,121.5095902
Taipei,Raohe Street Night Market,True,TOUGH,TOUGH,TOUGH,LOW,A famous flat single-street night market that is step-free but extremely crowded and tight; manageable slowly off-peak. The adjacent temple has a step.,firsthand,,
Taipei,Elephant Mountain (Xiangshan),True,FAIL,TOUGH,FAIL,LOW,The classic Taipei 101 viewpoint is reached by a steep staircase hike with no accessible route; not suitable for wheels. Alt: the Taipei 101 observatory for the reverse view.,firsthand,25.0265411,121.5755420
