city,place,is_famous,wheelchair,toddler,senior,confidence,note,source,lat,lng
Dubai,Burj Khalifa (At The Top),True,EXCELLENT,GOOD,GOOD,HIGH,"World's tallest building; entrance smooth, fast elevators to fully accessible observation decks (124/125/148) including the open-air terrace. Entered via the accessible Dubai Mall. A flawless accessible highlight.",curbfreewithcorylee firsthand; wheelchairtravel.org; twocontinents,25.1970336,55.2741329
Dubai,The Dubai Mall,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"World's largest mall; free loaner wheelchairs, elevators/ramps connecting all levels, wide corridors, houses the accessible Dubai Aquarium & Underwater Zoo. Air-conditioned, ideal with family.",twocontinents; wheelchairtravel.org firsthand,25.1970440,55.2789516
Dubai,The Dubai Fountain,True,EXCELLENT,EXCELLENT,GOOD,HIGH,"Spectacular fountain show on Burj Lake; the surrounding promenade is flat, wide and smooth with no gradients, plus a wheelchair-accessible Boardwalk that gets you within 9m. Free, multiple accessible vantage points.",harakamobility; motion4rent,25.0925084,55.1704226
Dubai,Palm Jumeirah & Atlantis,True,GOOD,EXCELLENT,GOOD,HIGH,"The iconic palm island; Atlantis The Palm resort, aquariums and attractions are accessible with adapted rooms and paths. A big family destination. Palm Tower/monorail accessible.",curbfreewithcorylee firsthand; tweshastraveldiary,25.1173273,55.1350965
Dubai,Souk Madinat Jumeirah,True,GOOD,GOOD,GOOD,HIGH,"Modern take on an Arabian souk near Burj Al Arab; sidewalk ramp + large elevator for step-free entry, flat smooth indoor hallways, waterfront restaurants accessible. A few individual shops have a small step.",harakamobility; curbfreewithcorylee firsthand,25.1334241,55.1857858
Dubai,Al Fahidi Historical Neighbourhood & Dubai Museum,True,TOUGH,GOOD,TOUGH,MEDIUM,"Restored old-Dubai quarter with wind towers; largely accessible lanes and ramps in the fort, but the museum's main exhibits are down a fairly steep spiral walkway (power chairs manage, manual needs assistance).",wheelchairtravel.org firsthand; tweshastraveldiary,25.2642301,55.3001700
Dubai,Desert Safari,True,TOUGH,GOOD,TOUGH,MEDIUM,"Dune-bashing + Bedouin camp; the SAND is very hard for wheels, but some camps (e.g. Oasis Palm) have concrete paths making the camp accessible. Book an accessible-camp operator; restrooms may have a small step. Dune driving itself needs transfer.",tweshastraveldiary firsthand; spintheglobe,25.0771601,55.1355207
Dubai,Dubai Marina,False,GOOD,GOOD,GOOD,MEDIUM,"Modern waterfront district with a flat accessible promenade, dining and yacht/dhow cruises (accessible boats available). Pleasant, level strolling.",tweshastraveldiary firsthand,25.0786415,55.1352524
Dubai,Old Souk / Deira (Gold & Spice Souks),True,TOUGH,GOOD,TOUGH,MEDIUM,"Atmospheric traditional markets across Dubai Creek; the historic area has poor access - narrow, many shops have steps, patchy curb cuts. The Metro entrance nearby is accessible; an abra creek crossing is not.",wheelchairtraveling.com firsthand; spintheglobe,25.2645637,55.2942928
Dubai,Kite Beach,False,GOOD,EXCELLENT,GOOD,MEDIUM,"Popular beach with a long accessibility ramp to the water, firm mat pathways over the sand and beach wheelchairs available. One of Dubai's more inclusive beach options for families.",stelamobility; twocontinents,25.1630042,55.2067193
